SampleID	Truth_tax_abd	2B	Color	Facet
S052	0.013333333	0.014179257	Shared	07AlfI
S053	0.006666667	0.005366026	Shared	07AlfI
S054	0.026666667	0.027168065	Shared	07AlfI
S055	0.006666667	0.006610302	Shared	07AlfI
S056	0.026666667	0.024221243	Shared	07AlfI
S057	0.013333333	0.018733529	Shared	07AlfI
S058	0.013333333	0.014053985	Shared	07AlfI
S059	0.033333333	0.033452218	Shared	07AlfI
S060	0.033333333	0.032956583	Shared	07AlfI
S061	0.033333333	0.032278231	Shared	07AlfI
S062	0.026666667	0.026141916	Shared	07AlfI
S063	0.026666667	0.027563456	Shared	07AlfI
S064	0.033333333	0.032546198	Shared	07AlfI
S065	0	3.33E-05	Shared	07AlfI
S066	0.02	0.019645634	Shared	07AlfI
S067	0.026666667	0.026940247	Shared	07AlfI
S068	0.02	0.018108957	Shared	07AlfI
S069	0.02	0.024854884	Shared	07AlfI
S070	0.013333333	0.013913535	Shared	07AlfI
S071	0.026666667	0.027790588	Shared	07AlfI
S072	0.006666667	0.006830081	Shared	07AlfI
S073	0.033333333	0.030337394	Shared	07AlfI
S074	0.006666667	0.00682147	Shared	07AlfI
S075	0.013333333	0.012674249	Shared	07AlfI
S076	0.013333333	0.013501173	Shared	07AlfI
S077	0.02	0.028088433	Shared	07AlfI
S078	0.026666667	0.026326761	Shared	07AlfI
S079	0.006666667	0.006278794	Shared	07AlfI
S080	0.033333333	0.033852012	Shared	07AlfI
S081	0.026666667	0.027419318	Shared	07AlfI
S082	0.02	0.021984277	Shared	07AlfI
S083	0.006666667	0.005521494	Shared	07AlfI
S084	0.013333333	0.017988482	Shared	07AlfI
S085	0.013333333	0.01420723	Shared	07AlfI
S086	0.006666667	0.00725504	Shared	07AlfI
S087	0.006666667	0.008244981	Shared	07AlfI
S088	0.033333333	0.03149278	Shared	07AlfI
S089	0.033333333	0.018310814	Shared	07AlfI
S090	0.033333333	0.037091136	Shared	07AlfI
S091	0.02	0.021243796	Shared	07AlfI
S092	0.006666667	0.006844894	Shared	07AlfI
S093	0.026666667	0.027173609	Shared	07AlfI
S094	0.02	0.020654665	Shared	07AlfI
S095	0.02	0.018676196	Shared	07AlfI
S096	0.026666667	0.026542544	Shared	07AlfI
S097	0.02	0.021335459	Shared	07AlfI
S098	0.013333333	0.011774279	Shared	07AlfI
S099	0.02	0.019033609	Shared	07AlfI
S100	0.033333333	0.033370083	Shared	07AlfI
S101	0.013333333	0.012566743	Shared	07AlfI
S102	0.006666667	0	Truth	07AlfI
S103	0.013333333	0.013806021	Shared	13AloI
S104	0.006666667	0.007518514	Shared	13AloI
S105	0.026666667	0.026720328	Shared	13AloI
S106	0.006666667	0.009740806	Shared	13AloI
S107	0.026666667	0.022924202	Shared	13AloI
S108	0.013333333	0.011190369	Shared	13AloI
S109	0.013333333	0.012614344	Shared	13AloI
S110	0.033333333	0.029783868	Shared	13AloI
S111	0.033333333	0.03216478	Shared	13AloI
S112	0.033333333	0.031432801	Shared	13AloI
S113	0.026666667	0.028042558	Shared	13AloI
S114	0.026666667	0.027970402	Shared	13AloI
S115	0.033333333	0.03288184	Shared	13AloI
S116	0	0.000187809	2B	13AloI
S117	0.02	0.02143656	Shared	13AloI
S118	0.026666667	0.029312177	Shared	13AloI
S119	0.02	0.019522199	Shared	13AloI
