SampleID	Group	Abundance	Species	Dist
S1	0_shotgun	0.18773349	Lactobacillus fermentum	0
S2	0_shotgun	0.246031524	Staphylococcus aureus	
S3	0_shotgun	0.295261794	Escherichia coli	
S4	0_shotgun	0.149937009	Streptococcus agalactiae	
S5	0_shotgun	0.121036183	Streptococcus mutans	
S6	1_1B_9H	0.225501498	Lactobacillus fermentum	0.109
S7	1_1B_9H	0.31009821	Staphylococcus aureus	
S8	1_1B_9H	0.22178082	Escherichia coli	
S9	1_1B_9H	0.154376435	Streptococcus agalactiae	
S10	1_1B_9H	0.088243036	Streptococcus mutans	
S11	1_1B_10H	0.242462978	Lactobacillus fermentum	0.107
S12	1_1B_10H	0.303928925	Staphylococcus aureus	
S13	1_1B_10H	0.233259551	Escherichia coli	
S14	1_1B_10H	0.130538827	Streptococcus agalactiae	
S15	1_1B_10H	0.08980972	Streptococcus mutans	
S16	1_1B_11H	0.223008899	Lactobacillus fermentum	0.104
S17	1_1B_11H	0.318378818	Staphylococcus aureus	
S18	1_1B_11H	0.240817957	Escherichia coli	
S19	1_1B_11H	0.13294535	Streptococcus agalactiae	
S20	1_1B_11H	0.084848976	Streptococcus mutans	
S21	2_1B_99H	0.229360019	Lactobacillus fermentum	0.109
S22	2_1B_99H	0.318777798	Staphylococcus aureus	
S23	2_1B_99H	0.237966081	Escherichia coli	
S24	2_1B_99H	0.126513613	Streptococcus agalactiae	
S25	2_1B_99H	0.087382489	Streptococcus mutans	
S26	2_1B_100H	0.249721063	Lactobacillus fermentum	0.102
S27	2_1B_100H	0.290201293	Staphylococcus aureus	
S28	2_1B_100H	0.236390685	Escherichia coli	
S29	2_1B_100H	0.128537658	Streptococcus agalactiae	
S30	2_1B_100H	0.095149301	Streptococcus mutans	
S31	2_1B_101H	0.263440067	Lactobacillus fermentum	0.1
S32	2_1B_101H	0.273234633	Staphylococcus aureus	
S33	2_1B_101H	0.253111013	Escherichia coli	
S34	2_1B_101H	0.116206778	Streptococcus agalactiae	
