sampleID	abd	species	matrix
S001	0.05	Pseudomonas_aeruginosa	GroundTruth
S002	0.05	Rhodobacter_sphaeroides	GroundTruth
S003	0.05	Escherichia_coli	GroundTruth
S004	0.05	Cutibacterium_acnes	GroundTruth
S005	0.05	Bifidobacterium_adolescentis	GroundTruth
S006	0.05	Deinococcus_radiodurans	GroundTruth
S007	0.05	Porphyromonas_gingivalis	GroundTruth
S008	0.05	Bacteroides_vulgatus	GroundTruth
S009	0.05	Schaalia_odontolytica	GroundTruth
S010	0.05	Neisseria_meningitidis	GroundTruth
S011	0.05	Acinetobacter_baumannii	GroundTruth
S012	0.05	Bacillus_cereus	GroundTruth
S013	0.05	Enterococcus_faecalis	GroundTruth
S014	0.05	Clostridium_beijerinckii	GroundTruth
S015	0.05	Staphylococcus_aureus	GroundTruth
S016	0.05	Lactobacillus_gasseri	GroundTruth
S017	0.05	Streptococcus_agalactiae	GroundTruth
S018	0.05	Streptococcus_mutans	GroundTruth
S019	0.05	Helicobacter_pylori	GroundTruth
S020	0.05	Staphylococcus_epidermidis	GroundTruth
S021	0	TOther	GroundTruth
S022	0.0993	Pseudomonas_aeruginosa	Bracken
S023	0.0692	Rhodobacter_sphaeroides	Bracken
S024	0.0676	Escherichia_coli	Bracken
S025	0.0387	Cutibacterium_acnes	Bracken
S026	0.0266	Bifidobacterium_adolescentis	Bracken
S027	0.0506	Deinococcus_radiodurans	Bracken
S028	0.0296	Porphyromonas_gingivalis	Bracken
S029	0.0681	Bacteroides_vulgatus	Bracken
S030	0.0264	Schaalia_odontolytica	Bracken
S031	0.0345	Neisseria_meningitidis	Bracken
S032	0.0571	Acinetobacter_baumannii	Bracken
S033	0.1446	Bacillus_cereus	Bracken
S034	0.0347	Enterococcus_faecalis	Bracken
S035	0.0722	Clostridium_beijerinckii	Bracken
S036	0.0311	Staphylococcus_aureus	Bracken
S037	0.0236	Lactobacillus_gasseri	Bracken
S038	0.0178	Streptococcus_agalactiae	Bracken
S039	0.0271	Streptococcus_mutans	Bracken
S040	0.0256	Helicobacter_pylori	Bracken
S041	0.0334	Staphylococcus_epidermidis	Bracken
S042	0.0222	TOther	Bracken
S043	0.095	Pseudomonas_aeruginosa	Kraken2
S044	0.0685	Rhodobacter_sphaeroides	Kraken2
S045	0.021	Escherichia_coli	Kraken2
S046	0.0375	Cutibacterium_acnes	Kraken2
S047	0.0255	Bifidobacterium_adolescentis	Kraken2
S048	0.0501	Deinococcus_radiodurans	Kraken2
S049	0.0289	Porphyromonas_gingivalis	Kraken2
S050	0.0631	Bacteroides_vulgatus	Kraken2
S051	0.026	Schaalia_odontolytica	Kraken2
S052	0.0311	Neisseria_meningitidis	Kraken2
S053	0.0358	Acinetobacter_baumannii	Kraken2
S054	0.1055	Bacillus_cereus	Kraken2
S055	0.0339	Enterococcus_faecalis	Kraken2
S056	0.0596	Clostridium_beijerinckii	Kraken2
S057	0.0279	Staphylococcus_aureus	Kraken2
S058	0.0222	Lactobacillus_gasseri	Kraken2
S059	0.0016	Streptococcus_agalactiae	Kraken2
S060	0.0247	Streptococcus_mutans	Kraken2
S061	0.0253	Helicobacter_pylori	Kraken2
S062	0.0315	Staphylococcus_epidermidis	Kraken2
S063	0.1853	TOther	Kraken2
S064	0.0247067	Pseudomonas_aeruginosa	MetaPhlAn2
S065	0.0609824	Rhodobacter_sphaeroides	MetaPhlAn2
S066	0.0526757	Escherichia_coli	MetaPhlAn2
S067	0	Cutibacterium_acnes	MetaPhlAn2
S068	0.0488639	Bifidobacterium_adolescentis	MetaPhlAn2
