SampleID	xa	ya	spp	type
S01	0.1	0.9546888	BrayCurtis	2B
S01	0.1	0.9491068	BrayCurtis	2B
S01	0.1	0.9453418	BrayCurtis	2B
S01	0.5	0.9756058	BrayCurtis	2B
S01	0.5	0.9760998	BrayCurtis	2B
S01	0.5	0.9768917	BrayCurtis	2B
S01	1	0.9785282	BrayCurtis	2B
S01	1	0.9786408	BrayCurtis	2B
S01	1	0.9789307	BrayCurtis	2B
S01	2	0.9814323	BrayCurtis	2B
S01	2	0.9865834	BrayCurtis	2B
S01	2	0.9849912	BrayCurtis	2B
S01	3	0.9890727	BrayCurtis	2B
S01	3	0.9885881	BrayCurtis	2B
S01	3	0.9892947	BrayCurtis	2B
S01	4	0.9925578	BrayCurtis	2B
S01	4	0.99216673	BrayCurtis	2B
S01	4	0.99146208	BrayCurtis	2B
S01	5	0.99339644	BrayCurtis	2B
S01	5	0.99334482	BrayCurtis	2B
S01	5	0.99267046	BrayCurtis	2B
S01	6	0.99394888	BrayCurtis	2B
S01	6	0.99409239	BrayCurtis	2B
S01	6	0.99437096	BrayCurtis	2B
S01	7	0.99453683	BrayCurtis	2B
S01	7	0.99479288	BrayCurtis	2B
S01	7	0.99478347	BrayCurtis	2B
S01	8	0.99521133	BrayCurtis	2B
S01	8	0.99521805	BrayCurtis	2B
S01	8	0.99486865	BrayCurtis	2B
S01	9	0.99569691	BrayCurtis	2B
S01	9	0.99533988	BrayCurtis	2B
S01	9	0.99589413	BrayCurtis	2B
S01	10	0.99625098	BrayCurtis	2B
S01	10	0.99631997	BrayCurtis	2B
S01	10	0.99618573	BrayCurtis	2B
S01	11	0.99780422	BrayCurtis	2B
S01	11	0.99873569	BrayCurtis	2B
S01	11	0.99660128	BrayCurtis	2B
S01	12	0.99894337	BrayCurtis	2B
S01	12	0.999041097	BrayCurtis	2B
S01	12	0.999031779	BrayCurtis	2B
S01	13	0.999368838	BrayCurtis	2B
S01	13	0.999371529	BrayCurtis	2B
S01	13	0.999459324	BrayCurtis	2B
S01	13.688688	1	BrayCurtis	2B
S01	0.1	0.9795087	L2	2B
S01	0.1	0.9787189	L2	2B
S01	0.1	0.9636918	L2	2B
S01	0.5	0.9887589	L2	2B
S01	0.5	0.9883181	L2	2B
S01	0.5	0.9889061	L2	2B
S01	1	0.9890252	L2	2B
S01	1	0.989063	L2	2B
S01	1	0.989164	L2	2B
S01	2	0.9882585	L2	2B
S01	2	0.99476081	L2	2B
S01	2	0.99310138	L2	2B
S01	3	0.99385733	L2	2B
S01	3	0.99379383	L2	2B
S01	3	0.99639952	L2	2B
S01	4	0.99733507	L2	2B
S01	4	0.99738737	L2	2B
S01	4	0.99654115	L2	2B
S01	5	0.99756699	L2	2B
S01	5	0.99758376	L2	2B
S01	5	0.99694127	L2	2B
S01	6	0.99771923	L2	2B
S01	6	0.9976975	L2	2B
S01	6	0.99755624	L2	2B
S01	7	0.99766244	L2	2B
S01	7	0.99785986	L2	2B
S01	7	0.99747535	L2	2B
S01	8	0.99753119	L2	2B
S01	8	0.99748064	L2	2B
S01	8	0.99730963	L2	2B
S01	9	0.99752238	L2	2B
S01	9	0.99741107	L2	2B
S01	9	0.99752169	L2	2B
S01	10	0.99767754	L2	2B
S01	10	0.99759004	L2	2B
S01	10	0.99754805	L2	2B
S01	11	0.999035494	L2	2B
S01	11	0.999584052	L2	2B
S01	11	0.99751725	L2	2B
S01	12	0.999612868	L2	2B
S01	12	0.999723023	L2	2B
S01	12	0.999658986	L2	2B
S01	13	0.999801386	L2	2B
S01	13	0.99975827	L2	2B
S01	13	0.99979346	L2	2B
S01	13.688688	1	L2	2B
S01	0.1	1.680016874	Shannon	2B
S01	0.1	1.672200134	Shannon	2B
S01	0.1	1.611742935	Shannon	2B
S01	0.5	1.811717012	Shannon	2B
S01	0.5	1.815065477	Shannon	2B
S01	0.5	1.812975994	Shannon	2B
S01	1	1.824240278	Shannon	2B
S01	1	1.817667624	Shannon	2B
S01	1	1.81998016	Shannon	2B
S01	2	1.853693693	Shannon	2B
S01	2	1.856387191	Shannon	2B
S01	2	1.866037233	Shannon	2B
S01	3	1.86824873	Shannon	2B
S01	3	1.874524729	Shannon	2B
S01	3	1.869322845	Shannon	2B
S01	4	1.872045206	Shannon	2B
S01	4	1.877368017	Shannon	2B
S01	4	1.889448247	Shannon	2B
S01	5	1.879815748	Shannon	2B
S01	5	1.880699035	Shannon	2B
S01	5	1.896868379	Shannon	2B
S01	6	1.884091545	Shannon	2B
S01	6	1.880853052	Shannon	2B
S01	6	1.893516671	Shannon	2B
S01	7	1.892260866	Shannon	2B
S01	7	1.885439213	Shannon	2B
S01	7	1.894316738	Shannon	2B
S01	8	1.890543715	Shannon	2B
S01	8	1.894567791	Shannon	2B
S01	8	1.899021912	Shannon	2B
S01	9	1.894905105	Shannon	2B
S01	9	1.897251504	Shannon	2B
S01	9	1.898405059	Shannon	2B
S01	10	1.893991409	Shannon	2B
S01	10	1.897243313	Shannon	2B
S01	10	1.899549373	Shannon	2B
S01	11	1.891910199	Shannon	2B
S01	11	1.896665129	Shannon	2B
S01	11	1.902923921	Shannon	2B
S01	12	1.896782525	Shannon	2B
S01	12	1.898323729	Shannon	2B
S01	12	1.898293872	Shannon	2B
S01	13	1.898473006	Shannon	2B
S01	13	1.898632945	Shannon	2B
S01	13	1.899445858	Shannon	2B
S01	13.688688	1.900075123	Shannon	2B
S01	0.1	50	Spp	2B
S01	0.1	53	Spp	2B
S01	0.1	52	Spp	2B
S01	0.5	94	Spp	2B
S01	0.5	91	Spp	2B
S01	0.5	92	Spp	2B
S01	1	107	Spp	2B
S01	1	103	Spp	2B
S01	1	106	Spp	2B
S01	2	129	Spp	2B
S01	2	133	Spp	2B
S01	2	132	Spp	2B
S01	3	152	Spp	2B
S01	3	152	Spp	2B
S01	3	147	Spp	2B
S01	4	169	Spp	2B
S01	4	167	Spp	2B
S01	4	169	Spp	2B
S01	5	180	Spp	2B
S01	5	175	Spp	2B
S01	5	184	Spp	2B
S01	6	191	Spp	2B
S01	6	182	Spp	2B
S01	6	191	Spp	2B
S01	7	199	Spp	2B
S01	7	194	Spp	2B
S01	7	196	Spp	2B
S01	8	205	Spp	2B
S01	8	206	Spp	2B
S01	8	200	Spp	2B
S01	9	211	Spp	2B
S01	9	212	Spp	2B
S01	9	212	Spp	2B
S01	10	217	Spp	2B
S01	10	220	Spp	2B
S01	10	218	Spp	2B
S01	11	222	Spp	2B
S01	11	224	Spp	2B
S01	11	227	Spp	2B
S01	12	229	Spp	2B
S01	12	229	Spp	2B
S01	12	233	Spp	2B
S01	13	232	Spp	2B
S01	13	234	Spp	2B
S01	13	236	Spp	2B
S01	13.688688	238	Spp	2B
S06	0.1	0.9249318	BrayCurtis	2B
S06	0.1	0.9308909	BrayCurtis	2B
S06	0.1	0.9263729	BrayCurtis	2B
S06	0.5	0.9713253	BrayCurtis	2B
S06	0.5	0.9723599	BrayCurtis	2B
S06	0.5	0.9732173	BrayCurtis	2B
S06	1	0.9772001	BrayCurtis	2B
S06	1	0.9793141	BrayCurtis	2B
S06	1	0.9782435	BrayCurtis	2B
S06	2	0.9819398	BrayCurtis	2B
S06	2	0.9830144	BrayCurtis	2B
S06	2	0.9837744	BrayCurtis	2B
S06	3	0.9852666	BrayCurtis	2B
S06	3	0.985511	BrayCurtis	2B
S06	3	0.9874871	BrayCurtis	2B
S06	4	0.989384	BrayCurtis	2B
S06	4	0.9869336	BrayCurtis	2B
S06	4	0.99047633	BrayCurtis	2B
S06	5	0.99069882	BrayCurtis	2B
S06	5	0.9886234	BrayCurtis	2B
S06	5	0.99202826	BrayCurtis	2B
S06	6	0.99226743	BrayCurtis	2B
S06	6	0.99074383	BrayCurtis	2B
S06	6	0.9923395	BrayCurtis	2B
S06	7	0.99403094	BrayCurtis	2B
S06	7	0.9938748	BrayCurtis	2B
S06	7	0.99406138	BrayCurtis	2B
S06	8	0.99454566	BrayCurtis	2B
S06	8	0.99513268	BrayCurtis	2B
S06	8	0.99489914	BrayCurtis	2B
S06	9	0.99555816	BrayCurtis	2B
S06	9	0.99595884	BrayCurtis	2B
S06	9	0.99613756	BrayCurtis	2B
S06	10	0.99599184	BrayCurtis	2B
S06	10	0.99652173	BrayCurtis	2B
S06	10	0.99699201	BrayCurtis	2B
S06	11	0.99715951	BrayCurtis	2B
S06	11	0.9973878	BrayCurtis	2B
S06	11	0.99831661	BrayCurtis	2B
S06	12	0.99766448	BrayCurtis	2B
S06	12	0.99898192	BrayCurtis	2B
S06	12	0.99879565	BrayCurtis	2B
S06	13	0.999393347	BrayCurtis	2B
S06	13	0.999373239	BrayCurtis	2B
S06	13	0.999372708	BrayCurtis	2B
S06	13.697499	1	BrayCurtis	2B
S06	0.1	0.9649365	L2	2B
S06	0.1	0.9652442	L2	2B
S06	0.1	0.959486	L2	2B
S06	0.5	0.9869999	L2	2B
S06	0.5	0.99145461	L2	2B
S06	0.5	0.9894586	L2	2B
S06	1	0.99232027	L2	2B
S06	1	0.99399089	L2	2B
S06	1	0.99325366	L2	2B
S06	2	0.99384247	L2	2B
S06	2	0.99593143	L2	2B
S06	2	0.99592152	L2	2B
S06	3	0.99596691	L2	2B
S06	3	0.99613745	L2	2B
S06	3	0.99679021	L2	2B
S06	4	0.99728753	L2	2B
S06	4	0.99572262	L2	2B
S06	4	0.997546	L2	2B
S06	5	0.99745915	L2	2B
S06	5	0.99618934	L2	2B
S06	5	0.99815089	L2	2B
S06	6	0.9977672	L2	2B
S06	6	0.99660377	L2	2B
S06	6	0.9978669	L2	2B
S06	7	0.99822448	L2	2B
S06	7	0.99836922	L2	2B
S06	7	0.99814955	L2	2B
S06	8	0.99823015	L2	2B
S06	8	0.99853979	L2	2B
S06	8	0.99847963	L2	2B
S06	9	0.998467	L2	2B
S06	9	0.99855418	L2	2B
S06	9	0.99881685	L2	2B
S06	10	0.99856742	L2	2B
S06	10	0.99868371	L2	2B
S06	10	0.999043988	L2	2B
S06	11	0.9987722	L2	2B
S06	11	0.99869394	L2	2B
S06	11	0.999519484	L2	2B
S06	12	0.99880007	L2	2B
S06	12	0.999743136	L2	2B
S06	12	0.999649642	L2	2B
S06	13	0.999810856	L2	2B
S06	13	0.999794274	L2	2B
S06	13	0.999803285	L2	2B
S06	13.697499	1	L2	2B
S06	0.1	1.789523591	Shannon	2B
S06	0.1	1.787897024	Shannon	2B
S06	0.1	1.753117958	Shannon	2B
S06	0.5	1.96906608	Shannon	2B
S06	0.5	1.996663044	Shannon	2B
S06	0.5	1.989069214	Shannon	2B
S06	1	2.019831601	Shannon	2B
S06	1	2.037543529	Shannon	2B
S06	1	2.039004106	Shannon	2B
S06	2	2.044414681	Shannon	2B
S06	2	2.070366841	Shannon	2B
S06	2	2.067988472	Shannon	2B
S06	3	2.077986698	Shannon	2B
S06	3	2.079169101	Shannon	2B
S06	3	2.083320942	Shannon	2B
S06	4	2.09779735	Shannon	2B
S06	4	2.100625842	Shannon	2B
S06	4	2.093843683	Shannon	2B
S06	5	2.104344837	Shannon	2B
S06	5	2.107293589	Shannon	2B
S06	5	2.09907683	Shannon	2B
S06	6	2.112213818	Shannon	2B
S06	6	2.108491568	Shannon	2B
S06	6	2.098789749	Shannon	2B
S06	7	2.113278011	Shannon	2B
S06	7	2.110745389	Shannon	2B
S06	7	2.103060691	Shannon	2B
S06	8	2.119084989	Shannon	2B
S06	8	2.115895595	Shannon	2B
S06	8	2.106390268	Shannon	2B
S06	9	2.120039387	Shannon	2B
S06	9	2.118615436	Shannon	2B
S06	9	2.113361984	Shannon	2B
