16S	2B_g	Group	Color
0.711430479	0.785429773	S01	Shared
0.164426595	0.116584549	S01	Shared
0.019572803	0.00919469	S01	Shared
0.019281233	0.014044453	S01	Shared
0.011944959	0.003356419	S01	Shared
0.008869367	0.011825621	S01	Shared
0.008803529	0.004025239	S01	Shared
0.007138759	0.00945546	S01	Shared
0.007101137	0.003780473	S01	Shared
0.006160589	0.001942231	S01	Shared
0.005586855	0.00329937	S01	Shared
0.004674523	0.002950541	S01	Shared
0.00391268	0.002678395	S01	Shared
0.003498838	0.00038162	S01	Shared
0.002313748	0.002481657	S01	Shared
0.001965745	0.001158499	S01	Shared
0.001392011	0.001205621	S01	Shared
0.000921737	0.000483958	S01	Shared
0.000855899	0.000232422	S01	Shared
0.000573734	0.000114605	S01	Shared
0.000554923	0.000156522	S01	Shared
0.000404436	0.000311662	S01	Shared
0.000404436	0.000180781	S01	Shared
0.000348003	0.002580622	S01	Shared
0.00058314	0.003904857	S01	Shared
0.694657343	0.703696867	S06	Shared
0.134881119	0.119283614	S06	Shared
0.040055944	0.032671329	S06	Shared
0.018592075	0.015653609	S06	Shared
0.012643357	0.006352244	S06	Shared
0.008111888	0.014127822	S06	Shared
0.012979021	0.008544981	S06	Shared
0.003636364	0.007079423	S06	Shared
0.017006993	0.004668623	S06	Shared
0.012550117	0.003914573	S06	Shared
0.000876457	0.000260632	S06	Shared
0.003337995	0.005010518	S06	Shared
0.007160839	0.002416434	S06	Shared
0.002461538	0.00375204	S06	Shared
0.000652681	0.000943324	S06	Shared
0.001379953	0.000725097	S06	Shared
0.004065268	0.00199831	S06	Shared
0.002275058	0.002955955	S06	Shared
0.001864802	0.000543928	S06	Shared
0.000335664	0.00015725	S06	Shared
0.001734266	0.000522808	S06	Shared
0.000839161	0.005047453	S06	Shared
0.00593007	0.003888071	S06	Shared
0.000111888	0.000473331	S06	Shared
0.000951049	0.000258592	S06	Shared
0.000149184	0.000388388	S06	Shared
0.000130536	0.006507017	S06	Shared
0.292988416	0.290855075	S07	Shared
0.249767096	0.293774257	S07	Shared
0.070605174	0.026643498	S07	Shared
0.017841851	0.02236223	S07	Shared
0.012863824	0.003518267	S07	Shared
0.020476724	0.044420669	S07	Shared
0.084805255	0.076146607	S07	Shared
0.031157368	0.051433372	S07	Shared
0.116451956	0.066991791	S07	Shared
0.039795986	0.008578538	S07	Shared
0.014068337	0.010343718	S07	Shared
0.00398995	0.006027263	S07	Shared
0.005843771	0.002031417	S07	Shared
0.002719565	0.005004571	S07	Shared
0.002484308	0.005037144	S07	Shared
0.003331232	0.003654925	S07	Shared
0.000141154	0.000211488	S07	Shared
0.002324334	0.000151424	S07	Shared
0.000498744	0.000497484	S07	Shared
0.001580924	0.001065978	S07	Shared
0.000997487	0.004125086	S07	Shared
0.000367	0.000172696	S07	Shared
0.000592846	0.00046379	S07	Shared
0.000432872	0.000766988	S07	Shared
0	0.032758529	S07	2B
0	0.031254428	S06	2B
0	0.02430484	S07	2B
0	0.00809256	S01	2B
0	0.007132557	S06	2B
0	0.00609603	S01	2B
0	0.003510895	S07	2B
0	0.003044015	S06	2B
0	0.002940019	S07	2B
0	0.002199221	S06	2B
0	0.002183428	S07	2B
0	0.001558579	S07	2B
0	0.001302524	S06	2B
0	0.001131451	S01	2B
0	0.001074911	S07	2B
0	0.001038181	S06	2B
0	0.000917494	S07	2B
0	0.000811114	S07	2B
0	0.000732759	S07	2B
0	0.00065773	S07	2B
0	0.00065733	S01	2B
0	0.000639016	S07	2B
0	0.000501726	S07	2B
0	0.000487947	S07	2B
0	0.000437355	S06	2B
0	0.000415076	S07	2B
0	0.000387352	S01	2B
0	0.000315434	S01	2B
0	0.000300053	S06	2B
0	0.000294064	S06	2B
0	0.000277165	S07	2B
0	0.000266695	S01	2B
0	0.000265695	S06	2B
0	0.000258507	S01	2B
0	0.000256222	S01	2B
0	0.000248358	S07	2B
0	0.000241718	S07	2B
0	0.000232197	S07	2B
0	0.00023109	S01	2B
0	0.000228518	S06	2B
0	0.000198756	S06	2B
0	0.000197992	S07	2B
0	0.000181738	S06	2B
0	0.000175295	S07	2B
0	0.000166048	S01	2B
0	0.000164107	S06	2B
0	0.000154135	S07	2B
0	0.000137621	S01	2B
0	0.000134632	S07	2B
0	0.000124711	S07	2B
0	0.000123933	S01	2B
0	0.00012135	S07	2B
0	0.000119687	S01	2B
0	0.000116557	S06	2B
0	0.000113439	S07	2B
0	0.000105955	S07	2B
0	0.000100713	S07	2B
0.016430312	0	S07	16S
0.006881119	0	S06	16S
0.003385973	0	S01	16S
0.002023206	0	S07	16S
0.001683581	0	S01	16S
0.001609154	0	S07	16S
0.001053949	0	S07	16S
0.000988345	0	S06	16S
0.000696005	0	S01	16S
0.000671329	0	S06	16S
0.000554923	0	S01	16S
0.000517564	0	S07	16S
0.000489333	0	S07	16S
0.000428904	0	S06	16S
0.000367	0	S07	16S
0.000291718	0	S07	16S
0.000263487	0	S07	16S
0.000253948	0	S01	16S
0.000242424	0	S06	16S
0.000223776	0	S06	16S
0.000205128	0	S06	16S
0.000205128	0	S06	16S
0.000197615	0	S07	16S
0.000197615	0	S07	16S
0.000188205	0	S07	16S
0.000169299	0	S01	16S
0.000159893	0	S01	16S
0.000149184	0	S06	16S
0.000149184	0	S06	16S
0.000141082	0	S01	16S
0.000131744	0	S07	16S
0.000131677	0	S01	16S
0.000130536	0	S06	16S
0.000130536	0	S06	16S
0.000112923	0	S07	16S
0.000111888	0	S06	16S
0.000111888	0	S06	16S
0.00010346	0	S01	16S
