SampleID	2B	WMS2B	Group	Color
S0001	0.004977341	0.004317636	S01_2	Shared
S0002	0.618588771	0.609944965	S01_2	Shared
S0003	0.108060236	0.094558657	S01_2	Shared
S0004	0.048516917	0.061422391	S01_2	Shared
S0005	0.029654597	0.029588443	S01_2	Shared
S0006	0.014563636	0.014789267	S01_2	Shared
S0007	0.013726838	0.017050272	S01_2	Shared
S0008	0.013075271	0.012210938	S01_2	Shared
S0009	0.009452057	0.00784715	S01_2	Shared
S0010	0.00809256	0.011778098	S01_2	Shared
S0011	0.007072099	0.006928765	S01_2	Shared
S0012	0.006922308	0.01020741	S01_2	Shared
S0013	0.006547217	0.004421522	S01_2	Shared
S0014	0.006134406	0.006353498	S01_2	Shared
S0015	0.005945201	0.005377199	S01_2	Shared
S0016	0.005661883	0.004949374	S01_2	Shared
S0017	0.004718862	0.004426937	S01_2	Shared
S0018	0.00411217	0.003955725	S01_2	Shared
S0019	0.003780473	0.001877026	S01_2	Shared
S0020	0.00329937	0.003771457	S01_2	Shared
S0021	0.003052128	0.002717138	S01_2	Shared
S0022	0.003051394	0.002360385	S01_2	Shared
S0023	0.003045996	0.003132177	S01_2	Shared
S0024	0.002926068	0.002051687	S01_2	Shared
S0025	0.002808829	0.003100056	S01_2	Shared
S0026	0.002664369	0.00325066	S01_2	Shared
S0027	0.002580622	0.001817105	S01_2	Shared
S0028	0.002481657	0.002324991	S01_2	Shared
S0029	0.002410471	0.001654698	S01_2	Shared
S0030	0.00215125	0.002138918	S01_2	Shared
S0031	0.002027694	0.002667536	S01_2	Shared
S0032	0.001792148	0.003749877	S01_2	Shared
S0033	0.001789258	0.002306916	S01_2	Shared
S0034	0.001590827	0.002425276	S01_2	Shared
S0035	0.001564271	0.002428822	S01_2	Shared
S0036	0.001541503	0.001610687	S01_2	Shared
S0037	0.001533885	0.00095968	S01_2	Shared
S0038	0.001505207	0.001154906	S01_2	Shared
S0039	0.001405976	0.00114637	S01_2	Shared
S0040	0.001376867	0.001406003	S01_2	Shared
