Name	Underarm_01	Underarm_02	Underarm_03	Underarm_04	Underarm_05	Underarm_06	Underarm_07	Underarm_08	Underarm_09	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_20
Wallemia_mellicola	0	0	0	0	0	0	0	0	0	0.001120955	0	0	0	0	0	0	0	0	0	0
Candida_orthopsilosis	0.001089803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida_tropicalis	0	0.000283386	0	0	0.000211419	0	0	0	0	0	0	0.002885492	0.000107075	4.19E-05	0.00037163	0.000429816	0.000328818	0	0	4.28E-05
Malassezia_globosa	1.12E-05	0.000869795	0.002094691	0.00117556	0.002218034	0.001813111	0.00288926	0.002426424	2.48E-05	0.000702353	0.000404846	0.001781029	0.000794304	0.000306198	0.004623157	0.000105476	0.000441747	0.001312897	0.000987577	0.000721713
Malassezia_sympodialis	0	0	0	0	0	0	0	0	0	0.000520138	0	0	0	0	0	0	0	0	0	0
Malassezia_restricta	0.000257725	0.000446749	0.001243283	0.000181645	0.000584266	7.67E-05	0.000986028	0.000576765	0.000150189	0.003866899	0.001118071	0.005309853	0.000992944	0.000174747	0.002509534	0.003093662	0.000188699	0.006155252	0.000239992	0.000272936
Aureimonas_sp_AU20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53E-05	0
Methylobacterium_sp_V23	0	0	1.31E-05	0.000139009	0	0	0	0.000875287	0	0	0	0	0	0	0	0	0	0	0.000498999	1.63E-05
Kocuria_sp_2SI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.66E-05
Dermacoccus_abyssi	0	0	0	0	0	0	0	0	0	0.002371788	0	0	0	0	0.003639952	0	0	0	0	0.000121792
Piscicoccus_intestinalis	0	0	0	0	0	0	0	0	0	0	0	0.000347217	0	0	0.000175428	0	0	0	0	0
Pseudomonas_lactis	0	0	0	1.26E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastococcus_atacamensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49E-05	0
Sphingomonas_paucimobilis	0	0	0	1.71E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_freneyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000185937	0	0	0	0	0
Pseudomonas_sp_GP01_A4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000108324	9.12E-05	0	0	0	0	0
Sphingomonas_echinoides	0.001200371	0.000374988	0.00166061	0.000229508	0.00121529	0.001593751	0.001116126	0.001380734	0.000181506	0.002175347	0.00254066	0.003109131	0.002318618	0.000109658	0.002593252	0.001379399	0.001491455	0.002001441	0.00010814	2.75E-05
Halomonas_sp_BL6	0	0	0	0	0	0	0	0	0	0	0	0.002873522	0	0	0.000520703	0	0	0	0	0
Blastococcus_sp_TF02_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000180607	0
Brevibacterium_casei	0.001038079	0.001245252	1.80E-05	0.00010592	0.004755491	6.63E-05	2.32E-05	0.000348697	7.20E-05	0.000425696	0.00030102	0.000321086	0.000140095	6.46E-05	0.000698383	7.37E-05	2.09E-05	0.005436283	0.00117653	0
Microbacterium_lacticum	0	0	0	0	0	0	2.36E-05	0	0	0.000299051	0.000167687	2.95E-05	0	0	0.00022731	0	0	0	0.000122435	0
Clostridioides_difficile	0	0	0	0.000130792	0	0	0	0	0	0	0	0	0	0	0	3.67E-05	0	0	0	0
Acinetobacter_parvus	0	0	0	1.94E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_guguanensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pedobacter_sp_KBW06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.63E-05	0.000387979	0	0.000412367	0	0	0
Serratia_grimesii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000817605	0	0.000851882	0	0	0
Candidatus_Planktophila_sulfonica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000327264	0	0	0	0	0
Rhodobacter_sphaeroides	4.62E-05	9.43E-05	4.40E-05	0	1.44E-05	0.000222113	1.08E-05	2.89E-05	0	0.000142774	3.33E-05	0.000161982	1.91E-05	0	0.00011715	1.43E-05	2.93E-05	2.64E-05	1.63E-05	3.35E-05
Bacillus_sp_2B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34E-05	0
Hydrogenophilus_thermoluteolus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_fluorescens	0	0	0	2.54E-05	0	0	0	0	0	0	0	0	0	0	0.000346671	6.78E-05	0.000159038	0	0	0
Amaricoccus_sp_HB172011	0	0	0.000597892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevundimonas_diminuta	0	0	0	0	0.000554113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_striatum	0	0	0	0	0	0.000118041	0.001633855	0.001372378	0	0	0	0	0	0.000482697	0	0	0	0	0	0
Methylorubrum_populi	0	0	0	1.99E-05	0	0	0	0	0	0.000532959	0	0	0	0	0.000900548	0	0	0	6.26E-05	1.35E-05
Chryseobacterium_taklimakanense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000276057	0
Bosea_sp_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000207507	5.79E-05	0	0	0	0
Pedobacter_nutrimenti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00061911	0	0	0	0	0
Rheinheimera_sp_LHK132	0	0	0	0	0	0	0	0	0	0	0.00267281	0	0	0	0	0	0	0	0	0
Staphylococcus_lugdunensis	0	0	0	0	0	0	0	0	0.045031649	0	0	0	0	0	0	0	0	0	3.69E-05	0.005009873
Blastococcus_sp_TBT05_19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.84E-05	0
Blastococcus_sp_TF02A_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000237875	0
Chryseobacterium_hominis	0	0	0	1.03E-05	0	0	0	0	0	0	0	0	0	0	0.002684945	0	0	0	0.000197442	0.00028126
Methylobacterium_sp_17Sr1_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.27E-05	0
