unique_name	Home_car_KC05BgC-1	Home_car_KC05T2C-1	Home_car_KC05T3C-1	Home_car_KC06BgP-1	Home_car_KC06T1P-1	Home_car_KC06T2P-1	Home_car_KC06T3P-1	Home_car_KCT0P-1	Home_car_SMM-2-3	Home_car_SY-41	Home_car_WJM-I	Home_car_WX-9	Underarm_1	Underarm_10	Underarm_11	Underarm_12	Underarm_13	Underarm_14	Underarm_15	Underarm_16	Underarm_17	Underarm_18	Underarm_19	Underarm_2	Underarm_20	Underarm_3	Underarm_4	Underarm_5	Underarm_6	Underarm_7	Underarm_8	Underarm_9
Malassezia_restricta	3.945636814	4.491449447	4.167503564	2.191896969	1.797367023	2.327133464	2.205689551	3.135786897	2.677110684	1.257909551	2.466441156	0.512458319	2.411156361	3.587362856	3.048469391	3.725082535	2.996924873	2.242410559	3.399593028	3.490472891	2.275770712	3.789245815	2.380196774	2.65006359	2.436060865	3.094569892	2.259224428	2.766610554	1.884872444	2.993889323	2.760998853	2.176637789
Malassezia_globosa	3.120945067	3.091559422	3.381492246	1.514713336	1.290584753	1.935798803	1.723334674	2.457064406	2.396230655	0.945852692	1.866808426	-0.028381604	1.050744183	2.846555714	2.607289506	3.250671069	2.899986701	2.486002926	3.664938618	2.023154802	2.645173411	3.118230663	2.99457096	2.939416787	2.858364765	3.321120009	3.070244618	3.345968199	3.258424453	3.460786622	3.384966728	1.394597474
Alternaria_alternata	3.20095853	2.732168752	3.575042544	3.239658022	3.263781776	3.666413872	3.301493846	3.153524259	2.320897917	1.104419345	2.291939054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.755313217	0	0	0	0.061906252	0
Aureobasidium_pullulans	2.169815127	0	2.82727887	2.995636335	3.376932737	3.433501682	2.881261272	2.053635587	1.727101965	0.75566574	0.61291281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida_tropicalis	0	0	0	1.281984073	0	0	0	0	0	0	0	0	0	0	0	3.460219871	2.029688106	1.622624459	2.57011107	2.633282572	2.516955344	0	0	2.452378134	1.631614983	0	0	2.325144905	0	0	0	0
Alternaria_arborescens	2.494795965	2.348486476	2.916047785	2.512086365	2.549270032	2.940251532	2.544870981	2.527319554	1.650870551	0.561017812	1.388723972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wallemia_mellicola	2.295592353	0	0	2.006537073	0	1.996768008	0	3.091647647	0	0	0	0	0	3.049588266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Botrytis_cinerea	2.104074627	0	1.700728627	1.296931167	1.014009877	2.167192844	1.168100517	2.887646602	0	0	1.223084455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomyces_cerevisiae	1.920581238	0	1.971381292	2.129452311	1.966392158	2.330653552	2.337505017	0	0	0	2.444868607	0.311244963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candida_orthopsilosis	0	0	0	0	0	0	0	0	0	0.732273457	0	0	3.037347954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
