SampleID	Methyloversatilis_discipulorum	Ferrovibrio_sp_K5	Methyloversatilis_universalis	Mycobacterium_tuberculosis	Pseudomonas_aeruginosa	Shannon	Lactobacillus
Ca_1	0.311556762	0.030877201	0.03311575	0.150933744	0.029205096	2.157678716	0.254508709
Ca_2	0.003406263	0.000516099	0.00039068	0.019632272	0.000222587	0.96299257	0.843327302
Ca_3	0.006814681	0.000687914	0.001137013	0.003495596	0.000458074	0.532347831	0.934555364
Ca_4	0.010514602	0.001302893	0.001194811	0.01045848	0.001134898	1.769312517	0.346192768
Ca_5	0.099984149	0.007338611	0.006732655	0.696452913	0.015385972	1.197880254	0.081801899
Ca_6	0.082208335	0.007956668	0.010133217	0.076459778	0.008395073	1.129916985	0.735839921
Ca_7	0.017741572	0.001604538	0.001580161	0.352306026	0.0018005	0.912281338	0.596839021
Ca_8	0.185742497	0.009160245	0.022370454	0.065383881	0.012586983	1.334398879	0.626865655
Ca_9	0.093407189	0.004344185	0.011020464	0.141812443	0.010721877	1.9490747	0.18325002
Ca_10	0.138948789	0.026092781	0.017974422	0.606107093	0.014049016	1.535655846	0.057431781
Ca_11	0.409769085	0.0329432	0.047248271	0.22866425	0.039289184	2.01532064	0.067225004
Ca_12	0.015455679	0.001254887	0.001346742	0.104230397	0.002385646	0.763795602	0.015221211
Ca_13	0.343013174	0.03020462	0.042346615	0.10619507	0.019739932	2.397819932	0.108759065
Ca_14	0.155308994	0.016806336	0.019437258	0.427057358	0.013365513	2.12933789	0.071186691
Ca_15	0.083612515	0.00696417	0.007071754	0.783231553	0.005444901	0.989701733	0.019956433
CIN_1	0.00976621	0.004862782	0.000692627	0.907304975	0	0.414294832	0.060249005
CIN_2	0.006013481	0.001518351	0.001247203	0.507776446	0	1.483655961	0.303128461
CIN_3	0.006732574	0.001583044	0	0.088711099	0	0.893399583	0.77789131
CIN_4	0.02324692	0.002987281	0.005475398	0.151516032	0	2.525168389	0.163037432
CIN_5	0.083860532	0.006273016	0.012242636	0.721303684	0.012702029	1.171543789	0.065727927
CIN_6	0.006839374	0	0	0.137807709	0	1.165795857	0.675600471
CIN_7	0.01213342	0.001264446	0.001110215	0.096199692	0.000356467	1.551385842	0.637290774
CIN_8	0.043177589	0.00653897	0.005635057	0.142247624	0.006299644	1.655191692	0.356380994
CIN_9	0.003050722	0.000965854	0.000640441	0.024533276	0	1.57246871	0.272082521
CIN_10	0.062886247	0.007201573	0.006225744	0.693990368	0.004485715	1.356145733	0.048198315
CIN_11	0.014446627	0.001757131	0.012789375	0.088103311	0.001126279	1.190003288	0.692003054
CIN_12	0.038048902	0.004216048	0.009367069	0.188773981	0.002919856	2.644069082	0.120302221
CIN_13	0.004242479	0.000960852	0.000870256	0.080285748	0	0.971261293	0.770139513
CIN_14	0.060026335	0.011364629	0.006983443	0.084017836	0.006157327	2.764035268	0.12628433
CIN_15	0.011514583	0.000959856	0.002324464	0.296970707	0.000899469	2.260812998	0.01428001
Nor_1	0.019051847	0.006949639	0.00129386	0.054756369	0.002388302	0.702480768	0.88584501
Nor_2	0.002510129	0.001022399	0.000339181	0.054098747	0.000127488	0.682210341	0.872021429
Nor_3	0.006358532	0.001871746	0.000644162	0.039390762	0	0.319916625	0.938202543
Nor_4	0.005123233	0.001621252	0.000659112	0.03381461	7.20E-05	1.454103767	0.315955566
Nor_5	0.001829477	0.000445682	0.000279686	0.127838141	0	3.318852914	0.02641799
Nor_6	0.000719743	0	0	0.178121801	0.000418117	1.183727519	0.67697801
Nor_7	0.000424887	7.47E-05	4.53E-05	0.016598337	0	0.43506762	0.913961611
Nor_8	0.000304755	0.000162418	9.55E-05	0.001588496	0	0.376375865	0.922062316
Nor_9	0.000593477	0.000250586	9.54E-05	0.001867379	0.000291412	1.17187614	0.345633615
Nor_10	0.007599584	0.002387261	0	0.514727248	0	1.492171862	0.047593303
Nor_11	0.004597245	0.000838798	0.000386804	0.016878219	0.0004317	0.713671201	0.879633965
Nor_12	0.000557199	6.55E-05	6.94E-05	0.019193778	7.33E-05	0.448593303	0.910015236
Nor_13	0.001770271	0.000467087	0.000219494	0.001906723	0.000221739	0.117174183	0.986407123
Nor_14	0.001767779	0.000528952	0.000205406	0.001529682	0.000345721	1.019478601	0.369490404
Nor_15	0.028800879	0.002594482	0.00146076	0.131622502	0.001548043	2.131685754	0.383354686
