SampleID	Group	Group1
Ca_1	Ca	Ca
Ca_10	Ca	Ca
Ca_11	Ca	Ca
Ca_12	Ca	Ca
Ca_13	Ca	Ca
Ca_14	Ca	Ca
Ca_15	Ca	Ca
Ca_2	Ca	Ca
Ca_3	Ca	Ca
Ca_4	Ca	Ca
Ca_5	Ca	Ca
Ca_6	Ca	Ca
Ca_7	Ca	Ca
Ca_8	Ca	Ca
Ca_9	Ca	Ca
CIN_1	CIN	CIN
CIN_10	CIN	CIN
CIN_11	CIN	CIN
CIN_12	CIN	CIN
CIN_13	CIN	CIN
CIN_14	CIN	CIN
CIN_15	CIN	CIN
CIN_2	CIN	CIN
CIN_3	CIN	CIN
CIN_4	CIN	CIN
CIN_5	CIN	CIN
CIN_6	CIN	CIN
CIN_7	CIN	CIN
CIN_8	CIN	CIN
CIN_9	CIN	CIN
Nor_1	Nor	Nor
Nor_10	Nor	Nor
Nor_11	Nor	Nor
Nor_12	Nor	Nor
Nor_13	Nor	Nor
Nor_14	Nor	Nor
Nor_15	Nor	Nor
Nor_2	Nor	Nor
Nor_3	Nor	Nor
Nor_4	Nor	Nor
Nor_5	Nor	Nor
Nor_6	Nor	Nor
Nor_7	Nor	Nor
Nor_8	Nor	Nor
Nor_9	Nor	Nor
