SampleID	taxid_196588	taxid_1119528	taxid_378211	taxid_431059	taxid_287	taxid_1773	taxid_562	taxid_1597	taxid_2594003
Ca_1	0.010677404	0.311556762	0.03311575	0.001474879	0.029205096	0.150933744	0.025591287	0.254508709	0.030877201
Ca_10	0.002594836	0.138948789	0.017974422	0	0.014049016	0.606107093	0.021238375	0.057431781	0.026092781
Ca_11	0.006258264	0.409769085	0.047248271	0.000987195	0.039289184	0.22866425	0	0.067225004	0.0329432
Ca_12	0.000179929	0.015455679	0.001346742	0	0.002385646	0.104230397	0	0.015221211	0.001254887
Ca_13	0.00453535	0.343013174	0.042346615	0	0.019739932	0.10619507	0.004255041	0.108759065	0.03020462
Ca_14	0.008617195	0.155308994	0.019437258	0	0.013365513	0.427057358	0.019259949	0.071186691	0.016806336
Ca_15	0.001786891	0.083612515	0.007071754	0.000410197	0.005444901	0.783231553	0.004901533	0.019956433	0.00696417
Ca_2	0.00012833	0.003406263	0.00039068	0	0.000222587	0.019632272	0.01768625	0.807695887	0.000516099
Ca_3	0.000238405	0.006814681	0.001137013	0	0.000458074	0.003495596	0.020880697	0.898389046	0.000687914
Ca_4	0.000222616	0.010514602	0.001194811	0.00010784	0.001134898	0.01045848	0.034782715	0.273245456	0.001302893
Ca_5	0.002163459	0.099984149	0.006732655	0	0.015385972	0.696452913	0.018677407	0.081801899	0.007338611
Ca_6	0.001425583	0.082208335	0.010133217	0.000556081	0.008395073	0.076459778	0.012677332	0.731650951	0.007956668
Ca_7	0.000791922	0.017741572	0.001580161	0	0.0018005	0.352306026	0	0.596369931	0.001604538
Ca_8	0.001792017	0.185742497	0.022370454	0	0.012586983	0.065383881	0.004503406	0.626865655	0.009160245
Ca_9	0.003156554	0.093407189	0.011020464	0	0.010721877	0.141812443	0.003241018	0.18325002	0.004344185
CIN_1	0	0.00976621	0.000692627	0	0	0.907304975	0.012886982	0.060249005	0.004862782
CIN_10	0	0.062886247	0.006225744	0.001587045	0.004485715	0.693990368	0.041806292	0.048198315	0.007201573
CIN_11	0	0.014446627	0.012789375	0	0.001126279	0.088103311	0.012186333	0.683027541	0.001757131
CIN_12	0	0.038048902	0.009367069	0	0.002919856	0.188773981	0.03640311	0.120302221	0.004216048
CIN_13	0	0.004242479	0.000870256	0	0	0.080285748	0	0.750365589	0.000960852
CIN_14	0	0.060026335	0.006983443	0	0.006157327	0.084017836	0	0.12628433	0.011364629
CIN_15	0	0.011514583	0.002324464	0	0.000899469	0.296970707	0.033500533	0.01428001	0.000959856
CIN_2	0	0.006013481	0.001247203	0	0	0.507776446	0.019511009	0.266582755	0.001518351
CIN_3	0	0.006732574	0	0	0	0.088711099	0	0.753187759	0.001583044
CIN_4	0	0.02324692	0.005475398	0	0	0.151516032	0.038053482	0.163037432	0.002987281
CIN_5	0	0.083860532	0.012242636	0	0.012702029	0.721303684	0.01157857	0.065727927	0.006273016
CIN_6	0	0.006839374	0	0	0	0.137807709	0	0.649873186	0
CIN_7	0	0.01213342	0.001110215	0	0.000356467	0.096199692	0.00664937	0.636643379	0.001264446
CIN_8	0	0.043177589	0.005635057	0	0.006299644	0.142247624	0.036552724	0.349772837	0.00653897
CIN_9	0	0.003050722	0.000640441	0	0	0.024533276	0.013032799	0.270947771	0.000965854
Nor_1	0	0.019051847	0.00129386	0.000388841	0.002388302	0.054756369	0.003456418	0.865730318	0.006949639
Nor_10	0	0.007599584	0	0	0	0.514727248	0.044591205	0.047593303	0.002387261
Nor_11	0	0.004597245	0.000386804	8.80954E-05	0.0004317	0.016878219	0.002856627	0.865687503	0.000838798
Nor_12	0	0.000557199	6.93888E-05	0	7.32827E-05	0.019193778	0.000762682	0.907733458	6.5525E-05
Nor_13	0	0.001770271	0.000219494	2.56314E-05	0.000221739	0.001906723	0.0011227	0.985414208	0.000467087
Nor_14	0	0.001767779	0.000205406	6.01287E-05	0.000345721	0.001529682	0.001851722	0.364969817	0.000528952
Nor_15	0.000295602	0.028800879	0.00146076	0.000366921	0.001548043	0.131622502	0.008084221	0.365256159	0.002594482
Nor_2	0	0.002510129	0.000339181	0.000128092	0.000127488	0.054098747	0.004123844	0.851670934	0.001022399
Nor_3	0	0.006358532	0.000644162	0.000134717	0	0.039390762	0.003650853	0.938202543	0.001871746
Nor_4	0	0.005123233	0.000659112	0.000122439	7.19809E-05	0.03381461	0.003038763	0.313153193	0.001621252
Nor_5	0	0.001829477	0.000279686	0.000529134	0	0.127838141	0.013363155	0.025790958	0.000445682
Nor_6	0	0.000719743	0	0.000383266	0.000418117	0.178121801	0.008846006	0.671019962	0
Nor_7	0	0.000424887	4.52514E-05	3.63722E-05	0	0.016598337	0.00094306	0.912460752	7.46755E-05
Nor_8	0	0.000304755	9.5456E-05	3.57762E-05	0	0.001588496	0.002391792	0.922062316	0.000162418
Nor_9	0	0.000593477	9.54214E-05	6.28142E-05	0.000291412	0.001867379	0.003815628	0.342837245	0.000250586
