SampleID	CA	CIN	Nor	Group
Ca-1	0.8134	0.1418	0.0448	Ca
Ca-10	0.7294	0.2552	0.0154	Ca
Ca-11	0.9154	0.037	0.0476	Ca
Ca-12	0.5688	0.3192	0.112	Ca
Ca-13	0.8904	0.0978	0.0118	Ca
Ca-14	0.8214	0.1616	0.017	Ca
Ca-15	0.7134	0.1676	0.119	Ca
Ca-2	0.3358	0.1196	0.5446	Ca
Ca-3	0.402	0.1692	0.4288	Ca
Ca-4	0.5054	0.1872	0.3074	Ca
Ca-5	0.7166	0.2708	0.0126	Ca
Ca-6	0.6856	0.1696	0.1448	Ca
Ca-7	0.4974	0.4026	0.1	Ca
Ca-8	0.8506	0.094	0.0554	Ca
Ca-9	0.749	0.151	0.1	Ca
CIN-1	0.167	0.6524	0.1806	CIN
CIN-10	0.3106	0.456	0.2334	CIN
CIN-11	0.175	0.613	0.212	CIN
CIN-12	0.279	0.564	0.157	CIN
CIN-13	0.0876	0.721	0.1914	CIN
CIN-14	0.3572	0.5094	0.1334	CIN
CIN-15	0.1822	0.5982	0.2196	CIN
CIN-2	0.1806	0.5764	0.243	CIN
CIN-3	0.0344	0.6706	0.295	CIN
CIN-4	0.1622	0.7612	0.0766	CIN
CIN-5	0.5094	0.452	0.0386	CIN
CIN-6	0.0298	0.6904	0.2798	CIN
CIN-7	0.1638	0.5404	0.2958	CIN
CIN-8	0.2876	0.6308	0.0816	CIN
CIN-9	0.1062	0.3598	0.534	CIN
Nor-1	0.2752	0.3716	0.3532	Nor
Nor-10	0.0692	0.7352	0.1956	Nor
Nor-11	0.0764	0.2002	0.7234	Nor
Nor-12	0.1062	0.3562	0.5376	Nor
Nor-13	0.0402	0.093	0.8668	Nor
Nor-14	0.0712	0.0906	0.8382	Nor
Nor-15	0.3906	0.3642	0.2452	Nor
Nor-2	0.0772	0.175	0.7478	Nor
Nor-3	0.0814	0.2342	0.6844	Nor
Nor-4	0.1468	0.188	0.6652	Nor
Nor-5	0.1462	0.3216	0.5322	Nor
Nor-6	0.0656	0.3642	0.5702	Nor
Nor-7	0.0554	0.1398	0.8048	Nor
Nor-8	0.0134	0.0644	0.9222	Nor
Nor-9	0.067	0.0726	0.8604	Nor
