enzyme	name	all	unique
AlfI	unclassified	622	622
AlfI	unclassified	707	698
AlfI	unclassified	252	246
AlfI	Acidilobaceae	635	631
AlfI	Caldisphaeraceae	113	113
AlfI	Desulfurococcaceae	1742	1736
AlfI	Pyrodictiaceae	1594	1592
AlfI	Fervidicoccaceae	171	171
AlfI	Sulfolobaceae	2585	2551
AlfI	Thermofilaceae	691	690
AlfI	Thermoproteaceae	3912	3882
AlfI	Archaeoglobaceae	2689	2670
AlfI	Candidatus Methanollivieraceae	426	420
AlfI	Haloarculaceae	15196	14511
AlfI	Halobacteriaceae	15455	14372
AlfI	Halococcaceae	3502	3351
AlfI	unclassified	2988	2331
AlfI	Haloferacaceae	17387	16384
AlfI	Halorubraceae	16138	15055
AlfI	unclassified	569	506
AlfI	Natrialbaceae	27813	27080
AlfI	Methanobacteriaceae	6378	6340
AlfI	Methanothermaceae	68	66
AlfI	Methanocaldococcaceae	1250	1232
AlfI	Methanococcaceae	1515	1493
AlfI	unclassified	94	91
AlfI	Methanocellaceae	2383	2348
AlfI	Methanocorpusculaceae	931	924
AlfI	Methanomicrobiaceae	10392	10313
AlfI	Methanoregulaceae	3138	3123
AlfI	Methanospirillaceae	1716	1707
AlfI	Candidatus Methanoperedenaceae	2157	2148
AlfI	Methanosarcinaceae	21934	21816
AlfI	Methanotrichaceae	1014	990
AlfI	Methermicoccaceae	773	768
AlfI	unclassified	125	125
AlfI	Methanonatronarchaeaceae	97	96
AlfI	Methanopyraceae	326	326
AlfI	Thermococcaceae	7715	7689
AlfI	Candidatus Methanomethylophilaceae	839	832
AlfI	Methanomassiliicoccaceae	1512	1508
AlfI	Cuniculiplasmataceae	241	236
AlfI	Ferroplasmaceae	727	716
AlfI	Picrophilaceae	282	282
AlfI	Thermoplasmataceae	922	907
AlfI	unclassified	291	286
AlfI	unclassified	464	452
AlfI	unclassified	781	772
AlfI	Candidatus Nitrosocaldaceae	628	626
AlfI	Nitrososphaeraceae	4284	4242
AlfI	Nitrosopumilaceae	2461	2439
AlfI	unclassified	2741	2711
AlfI	unclassified	616	595
AlfI	Abitibacteriaceae	929	924
AlfI	Acidobacteriaceae	95053	94063
AlfI	Bryobacteraceae	2584	2562
AlfI	Solibacteraceae	12734	12594
AlfI	unclassified	996	988
AlfI	Pyrinomonadaceae	1151	1137
AlfI	unclassified	2848	1268
AlfI	Holophagaceae	2470	2407
AlfI	Thermoanaerobaculaceae	1077	1065
AlfI	Vicinamibacteraceae	3720	3670
AlfI	unclassified	2933	2904
AlfI	Acidimicrobiaceae	2547	2497
AlfI	Ilumatobacteraceae	4837	4712
AlfI	Microthrixaceae	1757	1724
AlfI	Acidothermaceae	931	907
AlfI	Actinomycetaceae	114741	109594
AlfI	unclassified	2576	2133
AlfI	Actinopolysporaceae	16047	15449
AlfI	Bifidobacteriaceae	155140	150485
AlfI	Candidatus Nanopelagicaceae	4982	4880
AlfI	Actinospicaceae	7147	4315
AlfI	Catenulisporaceae	3957	3771
AlfI	Corynebacteriaceae	200605	193907
AlfI	Dietziaceae	11762	10989
AlfI	Gordoniaceae	73659	68714
AlfI	Mycobacteriaceae	745998	724818
AlfI	Nocardiaceae	529671	505037
AlfI	Segniliparaceae	2066	1961
AlfI	Tsukamurellaceae	15357	14324
AlfI	unclassified	4769	4440
AlfI	Cryptosporangiaceae	8377	7799
AlfI	Frankiaceae	57155	54415
AlfI	Motilibacteraceae	3875	3547
AlfI	unclassified	4985	4626
AlfI	Geodermatophilaceae	100646	95676
AlfI	Glycomycetaceae	23068	21190
AlfI	Jiangellaceae	29288	26132
AlfI	Kineosporiaceae	18100	16615
AlfI	Beutenbergiaceae	7669	6972
AlfI	Bogoriellaceae	12573	11636
AlfI	Brevibacteriaceae	44601	41950
AlfI	Cellulomonadaceae	78803	72361
AlfI	Demequinaceae	26114	24900
AlfI	Dermabacteraceae	40425	38592
AlfI	Dermacoccaceae	30925	27691
AlfI	Dermatophilaceae	11043	10349
AlfI	Intrasporangiaceae	112675	106074
AlfI	Jonesiaceae	2361	2326
AlfI	Microbacteriaceae	681773	662207
AlfI	Micrococcaceae	409636	394139
AlfI	Promicromonosporaceae	48411	42251
AlfI	Rarobacteraceae	2117	2005
AlfI	Ruaniaceae	9759	9266
AlfI	Sanguibacteraceae	11520	10257
AlfI	unclassified	4124	3916
AlfI	Micromonosporaceae	361512	347548
AlfI	Nakamurellaceae	12461	11682
AlfI	Nocardioidaceae	271940	260534
AlfI	Propionibacteriaceae	77889	74007
AlfI	Pseudonocardiaceae	552111	526008
AlfI	Sporichthyaceae	1640	1539
AlfI	Streptomycetaceae	1803164	1750541
AlfI	Nocardiopsaceae	73230	69233
AlfI	Streptosporangiaceae	175448	162962
AlfI	Thermomonosporaceae	112178	106475
AlfI	unclassified	2672	2399
AlfI	unclassified	28119	15120
AlfI	Atopobiaceae	35800	33546
AlfI	Coriobacteriaceae	52337	49027
AlfI	unclassified	2271	2224
AlfI	Eggerthellaceae	52321	47410
AlfI	Egibacteraceae	1577	1525
AlfI	Egicoccaceae	1696	1629
AlfI	Euzebyaceae	6114	5991
AlfI	Nitriliruptoraceae	1969	1907
AlfI	Gaiellaceae	1191	1161
AlfI	Baekduiaceae	1955	1848
AlfI	Rubrobacteraceae	4297	4199
AlfI	Conexibacteraceae	5498	5284
AlfI	Patulibacteraceae	4363	4214
AlfI	Solirubrobacteraceae	7426	7190
AlfI	unclassified	2238	2110
AlfI	Thermoleophilaceae	906	896
AlfI	unclassified	5714	5449
AlfI	Aquificaceae	2156	2144
AlfI	Hydrogenothermaceae	833	826
AlfI	unclassified	258	258
AlfI	Desulfurobacteriaceae	1114	1108
AlfI	Capsulimonadaceae	1984	1968
AlfI	Chthonomonadaceae	1983	1976
AlfI	Fimbriimonadaceae	1045	1044
AlfI	unclassified	1778	1753
AlfI	Bacteroidaceae	134002	120417
AlfI	Balneicellaceae	340	333
AlfI	Barnesiellaceae	6434	4757
AlfI	Dysgonamonadaceae	8946	7531
AlfI	Lentimicrobiaceae	1500	1485
AlfI	Muribaculaceae	17448	14887
AlfI	Odoribacteraceae	8289	6139
AlfI	Paludibacteraceae	1605	1589
AlfI	Porphyromonadaceae	29646	24943
AlfI	Prevotellaceae	142893	138487
AlfI	Rikenellaceae	32714	31684
AlfI	Tannerellaceae	31599	22881
AlfI	Williamwhitmaniaceae	1047	1037
AlfI	unclassified	17385	10220
AlfI	Marinifilaceae	8821	8694
AlfI	Marinilabiliaceae	16781	16551
AlfI	Prolixibacteraceae	15731	15516
AlfI	Salinivirgaceae	973	945
AlfI	Chitinophagaceae	257881	256553
AlfI	Amoebophilaceae	2259	2152
AlfI	Bernardetiaceae	1687	1671
AlfI	Catalimonadaceae	3149	3121
AlfI	Cyclobacteriaceae	45023	44571
AlfI	Cytophagaceae	136424	135501
AlfI	Flammeovirgaceae	27825	27572
AlfI	Hymenobacteraceae	213239	211216
AlfI	Microscillaceae	3949	3880
AlfI	Persicobacteraceae	755	743
AlfI	Raineyaceae	822	816
AlfI	Thermonemataceae	2065	2049
AlfI	unclassified	12310	11867
AlfI	Blattabacteriaceae	231	215
AlfI	Crocinitomicaceae	4702	4630
AlfI	Cryomorphaceae	3028	2974
AlfI	Flavobacteriaceae	434609	427512
AlfI	Ichthyobacteriaceae	97	91
AlfI	Schleiferiaceae	1338	1322
AlfI	unclassified	736	668
AlfI	unclassified	819	722
AlfI	Haliscomenobacteraceae	9386	9194
AlfI	Lewinellaceae	21638	21455
AlfI	Saprospiraceae	3794	3736
AlfI	Sphingobacteriaceae	249912	247368
AlfI	unclassified	5659	5630
AlfI	Rhodothermaceae	19278	19050
AlfI	unclassified	2851	1432
AlfI	Balneolaceae	10152	10103
AlfI	unclassified	1853	1820
AlfI	Caldisericaceae	187	185
AlfI	Calditrichaceae	1324	1302
AlfI	unclassified	174	160
AlfI	unclassified	143	142
AlfI	unclassified	575	565
AlfI	Candidatus Cryosericaceae	2753	2746
AlfI	unclassified	39	39
AlfI	unclassified	995	993
AlfI	unclassified	4032	3995
AlfI	unclassified	1239	1214
AlfI	unclassified	1639	1613
AlfI	unclassified	4856	4821
AlfI	unclassified	6458	6445
AlfI	Chlamydiaceae	4688	4592
AlfI	unclassified	713	705
AlfI	Candidatus Parilichlamydiaceae	329	325
AlfI	Criblamydiaceae	1043	1037
AlfI	Parachlamydiaceae	5261	5199
AlfI	Rhabdochlamydiaceae	376	372
AlfI	Simkaniaceae	538	536
AlfI	Waddliaceae	628	614
AlfI	Chlorobiaceae	23608	23307
AlfI	Anaerolineaceae	15227	15109
AlfI	unclassified	2935	2902
AlfI	Ardenticatenaceae	3533	3495
AlfI	Caldilineaceae	5378	5269
AlfI	Chloroflexaceae	12333	12094
AlfI	Oscillochloridaceae	18049	17820
AlfI	Roseiflexaceae	6733	6623
AlfI	unclassified	3357	3296
AlfI	Herpetosiphonaceae	6977	6943
AlfI	Dehalococcoidaceae	2338	2318
AlfI	unclassified	1556	1505
AlfI	Dictyobacteraceae	18401	18080
AlfI	Ktedonobacteraceae	5097	4864
AlfI	Thermosporotrichaceae	2894	2873
AlfI	unclassified	5522	5480
AlfI	Thermogemmatisporaceae	10017	9960
AlfI	Thermoflexaceae	1519	1497
AlfI	Sphaerobacteraceae	2380	2349
AlfI	Thermomicrobiaceae	1021	1015
AlfI	unclassified	1726	1704
AlfI	Chrysiogenaceae	2877	2832
AlfI	Coprothermobacteraceae	925	909
AlfI	Gloeobacteraceae	4748	4678
AlfI	Aphanothecaceae	8019	7200
AlfI	Chroococcaceae	7605	5569
AlfI	Cyanobacteriaceae	520	509
AlfI	Entophysalidaceae	292	283
AlfI	Microcystaceae	3737	3679
AlfI	unclassified	1623	1482
AlfI	Chroococcidiopsidaceae	6149	4140
AlfI	Gloeomargaritaceae	722	713
AlfI	Aphanizomenonaceae	5751	4326
AlfI	Chlorogloeopsidaceae	1739	1616
AlfI	Fortieaceae	2714	756
AlfI	Hapalosiphonaceae	13325	12387
AlfI	Nostocaceae	49752	45901
AlfI	Rivulariaceae	21241	18439
AlfI	Scytonemataceae	12294	10768
AlfI	Symphyonemataceae	1638	1453
AlfI	Tolypothrichaceae	12053	7371
AlfI	unclassified	2055	1943
AlfI	Coleofasciculaceae	5399	5086
AlfI	Cyanothecaceae	2116	2049
AlfI	Desertifilaceae	1144	1134
AlfI	Gomontiellaceae	546	525
AlfI	Microcoleaceae	10651	9883
AlfI	Oscillatoriaceae	20129	16600
AlfI	unclassified	5400	3788
AlfI	Dermocarpellaceae	1104	1087
AlfI	Hydrococcaceae	1022	701
AlfI	Hyellaceae	4293	3920
AlfI	Xenococcaceae	854	853
AlfI	Spirulinaceae	1315	1281
AlfI	Acaryochloridaceae	5739	5670
AlfI	Chamaesiphonaceae	1058	1039
AlfI	Leptolyngbyaceae	33026	32174
AlfI	Merismopediaceae	2805	2754
AlfI	Prochloraceae	8490	8423
AlfI	Prochlorotrichaceae	8489	5913
AlfI	Pseudanabaenaceae	13620	13482
AlfI	Synechococcaceae	83132	81623
AlfI	unclassified	765	754
AlfI	unclassified	16518	15872
AlfI	Deferribacteraceae	4162	4111
AlfI	Deinococcaceae	84334	83108
AlfI	Trueperaceae	1081	1057
AlfI	Thermaceae	26789	26371
AlfI	Dictyoglomaceae	302	295
AlfI	Elusimicrobiaceae	916	908
AlfI	Endomicrobiaceae	549	372
AlfI	unclassified	220	45
AlfI	Chitinivibrionaceae	606	599
AlfI	Fibrobacteraceae	25274	25171
AlfI	Alicyclobacillaceae	38796	38427
AlfI	Bacillaceae	580258	550129
AlfI	Bacillales Family X. Incertae Sedis	462	428
AlfI	Listeriaceae	17449	16064
AlfI	Paenibacillaceae	776668	756137
AlfI	Pasteuriaceae	355	335
AlfI	Planococcaceae	75698	73761
AlfI	Sporolactobacillaceae	13613	12863
AlfI	Staphylococcaceae	54440	49157
AlfI	Thermoactinomycetaceae	17588	17211
AlfI	unclassified	24315	22860
AlfI	Aerococcaceae	9354	8572
AlfI	Carnobacteriaceae	22524	21097
AlfI	Enterococcaceae	52982	48586
AlfI	Lactobacillaceae	174381	171453
AlfI	Leuconostocaceae	24197	23812
AlfI	Streptococcaceae	101905	98165
AlfI	unclassified	366	0
AlfI	unclassified	351	82
AlfI	Candidatus Borkfalkiaceae	865	852
AlfI	Caldicoprobacteraceae	823	813
AlfI	Catabacteriaceae	1496	1474
AlfI	Christensenellaceae	6164	6063
AlfI	Clostridiaceae	178468	126676
AlfI	Clostridiales Family XII. Incertae Sedis	2235	2217
AlfI	Clostridiales Family XIII. Incertae Sedis	8611	8151
AlfI	Clostridiales Family XVI. Incertae Sedis	1107	1085
AlfI	Clostridiales Family XVII. Incertae Sedis	6920	6816
AlfI	Defluviitaleaceae	133	124
AlfI	Eubacteriaceae	45945	34312
AlfI	Heliobacteriaceae	2559	2495
AlfI	Hungateiclostridiaceae	19809	17555
AlfI	Lachnospiraceae	298403	236625
AlfI	Oscillospiraceae	8760	7138
AlfI	Peptococcaceae	54967	53385
AlfI	Peptostreptococcaceae	15771	12012
AlfI	Proteinivoraceae	197	191
AlfI	Ruminococcaceae	216771	185868
AlfI	Symbiobacteriaceae	1285	1248
AlfI	Syntrophomonadaceae	5387	4941
AlfI	Vallitaleaceae	1192	1164
AlfI	unclassified	60336	28167
AlfI	Halanaerobiaceae	4461	4427
AlfI	Halobacteroidaceae	1670	1637
AlfI	unclassified	252	246
AlfI	Natranaerobiaceae	339	334
AlfI	Thermoanaerobacteraceae	16855	16062
AlfI	Thermoanaerobacterales Family III. Incertae Sedis	8558	8032
AlfI	Thermoanaerobacterales Family IV. Incertae Sedis	937	920
AlfI	Thermodesulfobiaceae	320	315
AlfI	unclassified	676	206
AlfI	unclassified	10760	2779
AlfI	Erysipelotrichaceae	36891	27763
AlfI	Limnochordaceae	1048	1025
AlfI	Acidaminococcaceae	9828	9582
AlfI	Selenomonadaceae	58677	56458
AlfI	Sporomusaceae	33494	33208
AlfI	Veillonellaceae	30089	27840
AlfI	Gottschalkiaceae	625	582
AlfI	Peptoniphilaceae	12741	10143
AlfI	Tissierellaceae	1779	1676
AlfI	unclassified	565	344
AlfI	unclassified	4631	3501
AlfI	unclassified	17456	10270
AlfI	Fusobacteriaceae	5273	5104
AlfI	Leptotrichiaceae	3098	2855
AlfI	Gemmatimonadaceae	8706	8592
AlfI	Ignavibacteriaceae	365	361
AlfI	Melioribacteraceae	464	464
AlfI	Kiritimatiellaceae	918	882
AlfI	unclassified	6796	6716
AlfI	Lentisphaeraceae	1085	1065
AlfI	Victivallaceae	2281	2226
AlfI	unclassified	2007	1947
AlfI	Nitrospinaceae	1044	1023
AlfI	Nitrospiraceae	15980	15848
AlfI	unclassified	735	732
AlfI	Candidatus Brocadiaceae	4607	4508
AlfI	Phycisphaeraceae	1192	1162
AlfI	Sedimentisphaeraceae	2270	2245
AlfI	unclassified	6429	6355
AlfI	Gemmataceae	11272	11031
AlfI	Isosphaeraceae	9783	9599
AlfI	Planctomycetaceae	91237	88189
AlfI	unclassified	170274	166387
AlfI	Acidithiobacillaceae	16466	16151
AlfI	Thermithiobacillaceae	2044	1899
AlfI	Caulobacteraceae	102943	96016
AlfI	Emcibacteraceae	3709	3596
AlfI	Caedimonadaceae	594	586
AlfI	Candidatus Paracaedibacteraceae	2095	2036
AlfI	Holosporaceae	1313	1197
AlfI	Kiloniellaceae	6418	6363
AlfI	Kordiimonadaceae	7960	7602
AlfI	unclassified	4002	2492
AlfI	Candidatus Magnetaquicoccaceae	2884	2857
AlfI	Magnetococcaceae	4178	4060
AlfI	Minwuiaceae	1641	1498
AlfI	Parvularculaceae	5209	5021
AlfI	Pelagibacteraceae	2163	2129
AlfI	unclassified	94	91
AlfI	Aestuariivirgaceae	2323	2186
AlfI	Ancalomicrobiaceae	1586	1418
AlfI	Aurantimonadaceae	60234	56529
AlfI	Bartonellaceae	18351	17986
AlfI	Beijerinckiaceae	27379	26177
AlfI	Bradyrhizobiaceae	614046	586410
AlfI	Brucellaceae	94733	72625
AlfI	Chelatococcaceae	9890	8983
AlfI	Cohaesibacteraceae	20650	19984
AlfI	Hyphomicrobiaceae	151072	144946
AlfI	Mabikibacteraceae	1491	449
AlfI	Methylobacteriaceae	197490	187474
AlfI	Methylocystaceae	39682	37393
AlfI	Notoacmeibacteraceae	3247	2140
AlfI	Phyllobacteriaceae	520007	471042
AlfI	Rhizobiaceae	846659	699341
AlfI	Rhodobiaceae	28255	26754
AlfI	Roseiarcaceae	1528	1415
AlfI	Salinarimonadaceae	5894	5418
AlfI	Xanthobacteraceae	53659	50093
AlfI	unclassified	448038	277888
AlfI	Hyphomonadaceae	57701	56369
AlfI	Rhodobacteraceae	1324959	1300190
AlfI	unclassified	5844	3711
AlfI	Acetobacteraceae	327896	320314
AlfI	Geminicoccaceae	4579	4410
AlfI	Rhodospirillaceae	307150	295186
AlfI	unclassified	37545	34936
AlfI	Rhodothalassiaceae	1205	1114
AlfI	Anaplasmataceae	9170	8929
AlfI	Candidatus Deianiraeaceae	289	288
AlfI	Candidatus Midichloriaceae	792	713
AlfI	Rickettsiaceae	4311	4199
AlfI	unclassified	1368	1009
AlfI	Sneathiellaceae	3003	2875
AlfI	Erythrobacteraceae	155841	143607
AlfI	Sphingomonadaceae	692531	664565
AlfI	unclassified	1748	1705
AlfI	unclassified	39925	32422
AlfI	Alcaligenaceae	415212	395271
AlfI	Burkholderiaceae	1600263	1558484
AlfI	Comamonadaceae	1016088	973241
AlfI	Oxalobacteraceae	581603	561872
AlfI	Sutterellaceae	10826	9327
AlfI	unclassified	270816	245847
AlfI	Ferrovaceae	1940	1888
AlfI	Chromobacteriaceae	154384	147905
AlfI	Neisseriaceae	132813	125414
AlfI	Gallionellaceae	20622	20005
AlfI	Methylophilaceae	48579	47886
AlfI	Nitrosomonadaceae	72054	71005
AlfI	Sterolibacteriaceae	27822	26038
AlfI	Thiobacillaceae	10523	9758
