enzyme	name	all	unique
AlfI	unclassified	622	622
AlfI	Candidatus Korarchaeum	261	253
AlfI	Candidatus Methanodesulfokores	453	438
AlfI	Candidatus Mancarchaeum	252	246
AlfI	Acidilobus	635	631
AlfI	Caldisphaera	113	113
AlfI	Aeropyrum	532	531
AlfI	Desulfurococcus	450	449
AlfI	Ignicoccus	190	186
AlfI	Staphylothermus	157	157
AlfI	Thermogladius	108	106
AlfI	Thermosphaera	143	143
AlfI	unclassified	163	163
AlfI	Hyperthermus	410	408
AlfI	Pyrodictium	778	777
AlfI	Pyrolobus	407	406
AlfI	Fervidicoccus	171	171
AlfI	Acidianus	750	736
AlfI	Metallosphaera	489	478
AlfI	Saccharolobus	175	143
AlfI	Sulfodiicoccus	164	163
AlfI	Sulfolobus	913	873
AlfI	Sulfurisphaera	129	125
AlfI	Thermofilum	691	690
AlfI	Caldivirga	553	547
AlfI	Pyrobaculum	1414	1402
AlfI	Thermoproteus	684	674
AlfI	Vulcanisaeta	1270	1251
AlfI	Archaeoglobus	1664	1647
AlfI	Ferroglobus	273	272
AlfI	Geoglobus	755	748
AlfI	unclassified	426	420
AlfI	Halapricum	426	398
AlfI	Haloarcula	6398	6130
AlfI	Halomicroarcula	642	586
AlfI	Halomicrobium	1169	1093
AlfI	Halorhabdus	1477	1390
AlfI	Halorientalis	1802	1701
AlfI	Halosimplex	1284	1165
AlfI	Natronomonas	1867	1697
AlfI	unclassified	323	304
AlfI	Haladaptatus	2561	2450
AlfI	Halalkalicoccus	1237	1185
AlfI	Halanaeroarchaeum	274	258
AlfI	Halarchaeum	561	526
AlfI	Haloarchaeobius	600	551
AlfI	Halobacterium	2376	2156
AlfI	Halodesulfurarchaeum	275	271
AlfI	Halomarina	475	466
AlfI	Halorussus	3420	3077
AlfI	Halostella	1801	1598
AlfI	Halovenus	395	378
AlfI	Natronoarchaeum	515	468
AlfI	Salarchaeum	245	222
AlfI	unclassified	961	699
AlfI	Halococcus	3502	3351
AlfI	unclassified	2988	2331
AlfI	Halobellus	2731	2350
AlfI	Haloferax	5841	5411
AlfI	Halogeometricum	1705	1588
AlfI	Halogranum	1889	1783
AlfI	Halopelagius	610	545
AlfI	Haloplanus	1745	1614
AlfI	Haloprofundus	948	884
AlfI	Haloquadratum	717	705
AlfI	unclassified	1531	1375
AlfI	Candidatus Halobonum	252	231
AlfI	Halobaculum	406	371
AlfI	Halohasta	400	369
AlfI	Halolamina	1655	1514
AlfI	Halonotius	1455	1358
AlfI	Haloparvum	366	307
