enzyme	name	all	unique
AlfI	unclassified	622	622
AlfI	unclassified	707	698
AlfI	unclassified	252	246
AlfI	Acidilobales	748	744
AlfI	Desulfurococcales	3336	3328
AlfI	Fervidicoccales	171	171
AlfI	Sulfolobales	2585	2551
AlfI	Thermoproteales	4602	4573
AlfI	Archaeoglobales	2689	2670
AlfI	Candidatus Methanoliparales	426	420
AlfI	Halobacteriales	36517	34935
AlfI	Haloferacales	33647	32180
AlfI	Natrialbales	27813	27080
AlfI	Methanobacteriales	6446	6406
AlfI	Methanococcales	2856	2818
AlfI	Methanocellales	2383	2348
AlfI	Methanomicrobiales	16173	16071
AlfI	Methanosarcinales	26002	25848
AlfI	Methanonatronarchaeales	97	96
AlfI	Methanopyrales	326	326
AlfI	Thermococcales	7715	7689
AlfI	Methanomassiliicoccales	2351	2340
AlfI	Thermoplasmatales	2456	2433
AlfI	unclassified	464	452
AlfI	unclassified	781	772
AlfI	Candidatus Nitrosocaldales	628	626
AlfI	Nitrososphaerales	4284	4242
AlfI	Nitrosopumilales	2461	2439
AlfI	unclassified	2741	2711
AlfI	unclassified	616	595
AlfI	Abditibacteriales	929	924
AlfI	Acidobacteriales	95053	94063
AlfI	Bryobacterales	15318	15156
AlfI	unclassified	996	988
AlfI	Blastocatellales	1151	1137
AlfI	unclassified	2848	1268
AlfI	Holophagales	2470	2407
AlfI	Thermoanaerobaculales	1077	1065
AlfI	unclassified	3720	3670
AlfI	unclassified	2933	2904
AlfI	Acidimicrobiales	9138	8933
AlfI	Acidothermales	931	907
AlfI	Actinomycetales	117284	111731
AlfI	Actinopolysporales	16047	15449
AlfI	Bifidobacteriales	155140	150485
AlfI	Candidatus Nanopelagicales	4982	4880
AlfI	Catenulisporales	11089	8089
AlfI	Corynebacteriales	1569873	1533376
AlfI	Cryptosporangiales	8377	7799
AlfI	Frankiales	65903	62618
AlfI	Geodermatophilales	100646	95676
AlfI	Glycomycetales	23068	21190
AlfI	Jiangellales	29288	26132
AlfI	Kineosporiales	18100	16615
AlfI	Micrococcales	1514515	1475896
AlfI	Micromonosporales	361512	347548
AlfI	Nakamurellales	12461	11682
AlfI	Propionibacteriales	349045	334743
AlfI	Pseudonocardiales	552111	526008
AlfI	Sporichthyales	1640	1539
AlfI	Streptomycetales	1803164	1750541
AlfI	Streptosporangiales	360864	342020
AlfI	unclassified	28119	15120
AlfI	Coriobacteriales	89949	85107
AlfI	Eggerthellales	52321	47410
AlfI	Egibacterales	1577	1525
AlfI	Egicoccales	1696	1629
AlfI	Euzebyales	6114	5991
AlfI	Nitriliruptorales	1969	1907
AlfI	Gaiellales	1191	1161
AlfI	Rubrobacterales	6250	6047
AlfI	Solirubrobacterales	19393	18871
AlfI	Thermoleophilales	906	896
AlfI	unclassified	5714	5449
AlfI	Aquificales	3243	3231
AlfI	Desulfurobacteriales	1114	1108
AlfI	Capsulimonadales	1984	1968
AlfI	Chthonomonadales	1983	1976
AlfI	Fimbriimonadales	1045	1044
AlfI	unclassified	1778	1753
AlfI	Bacteroidales	412790	402619
AlfI	Marinilabiliales	42275	41720
AlfI	Chitinophagales	257881	256553
AlfI	Cytophagales	448867	445679
AlfI	Flavobacteriales	444619	437494
AlfI	unclassified	819	722
AlfI	Saprospirales	34811	34388
AlfI	Sphingobacteriales	255569	252999
AlfI	Bacteroidetes Order II. Incertae sedis	19278	19050
AlfI	unclassified	2851	1432
AlfI	Balneolales	10152	10103
AlfI	unclassified	1853	1820
AlfI	Caldisericales	187	185
AlfI	Calditrichales	1324	1302
AlfI	unclassified	174	160
AlfI	unclassified	143	142
AlfI	unclassified	575	565
AlfI	Candidatus Cryosericales	2753	2746
AlfI	unclassified	39	39
AlfI	unclassified	995	993
AlfI	unclassified	4032	3995
AlfI	Candidatus Gastranaerophilales	1239	1214
AlfI	unclassified	1639	1613
AlfI	unclassified	4856	4821
AlfI	unclassified	6458	6445
AlfI	Chlamydiales	5401	5297
AlfI	Parachlamydiales	8166	8086
AlfI	Chlorobiales	23608	23307
AlfI	Anaerolineales	15227	15109
AlfI	unclassified	2935	2902
AlfI	Ardenticatenales	3533	3495
AlfI	Caldilineales	5378	5269
AlfI	Chloroflexales	40416	39885
AlfI	Herpetosiphonales	6977	6943
AlfI	Dehalococcoidales	2338	2318
AlfI	unclassified	1556	1505
AlfI	Ktedonobacterales	31892	31315
AlfI	Thermogemmatisporales	10017	9960
AlfI	Thermoflexales	1519	1497
AlfI	Sphaerobacterales	2380	2349
AlfI	Thermomicrobiales	1021	1015
AlfI	unclassified	1726	1704
AlfI	Chrysiogenales	2877	2832
AlfI	Coprothermobacterales	925	909
AlfI	Gloeobacterales	4748	4678
AlfI	Chroococcales	21650	18820
AlfI	Chroococcidiopsidales	6149	4140
AlfI	Gloeoemargaritales	722	713
AlfI	Nostocales	114475	111416
AlfI	Oscillatoriales	44883	39489
AlfI	Pleurocapsales	6968	6863
AlfI	Spirulinales	1315	1281
AlfI	Synechococcales	156977	151911
AlfI	unclassified	16518	15872
AlfI	Deferribacterales	4162	4111
AlfI	Deinococcales	85410	84168
AlfI	Thermales	26789	26371
AlfI	Dictyoglomales	302	295
AlfI	Elusimicrobiales	916	908
AlfI	Endomicrobiales	549	372
AlfI	unclassified	220	45
AlfI	Chitinivibrionales	606	599
AlfI	Fibrobacterales	25274	25171
AlfI	Bacillales	1578978	1556839
AlfI	Lactobacillales	383525	373213
AlfI	unclassified	351	82
AlfI	Candidatus Borkfalkiales	865	852
AlfI	Clostridiales	842132	810741
AlfI	Halanaerobiales	6380	6310
AlfI	Natranaerobiales	339	334
AlfI	Thermoanaerobacterales	26792	26053
AlfI	unclassified	10760	2779
AlfI	Erysipelotrichales	36891	27763
AlfI	Limnochordales	1048	1025
AlfI	Acidaminococcales	9828	9582
AlfI	Selenomonadales	92160	89676
AlfI	Veillonellales	30089	27840
AlfI	Tissierellales	15691	12749
AlfI	unclassified	4631	3501
AlfI	unclassified	17456	10270
AlfI	Fusobacteriales	8358	7966
AlfI	Gemmatimonadales	8706	8592
AlfI	Ignavibacteriales	829	825
AlfI	Kiritimatiellales	7714	7598
AlfI	Lentisphaerales	1085	1065
AlfI	Victivallales	4261	4198
AlfI	Nitrospinales	1044	1023
AlfI	Nitrospirales	15980	15848
AlfI	unclassified	735	732
AlfI	Candidatus Brocadiales	4607	4508
AlfI	Phycisphaerales	1192	1162
AlfI	Sedimentisphaerales	2270	2245
AlfI	unclassified	6429	6355
AlfI	Planctomycetales	112262	108837
AlfI	unclassified	170274	166387
AlfI	Acidithiobacillales	18507	18050
AlfI	Caulobacterales	102943	96016
AlfI	Emcibacterales	3709	3596
AlfI	Holosporales	3998	3819
AlfI	Kiloniellales	6418	6363
AlfI	Kordiimonadales	11960	10094
AlfI	Magnetococcales	7062	6917
AlfI	Minwuiales	1641	1498
AlfI	Parvularculales	5209	5021
AlfI	Pelagibacterales	2254	2221
AlfI	Rhizobiales	2937218	2871789
AlfI	Rhodobacterales	1386025	1362336
AlfI	Rhodospirillales	674291	656397
AlfI	Rhodothalassiales	1205	1114
AlfI	Rickettsiales	15924	15141
AlfI	Sneathiellales	3003	2875
AlfI	Sphingomonadales	841892	813648
AlfI	unclassified	39925	32422
AlfI	Burkholderiales	3850222	3770284
AlfI	Ferrovales	1940	1888
AlfI	Neisseriales	286491	273650
AlfI	Nitrosomonadales	181280	176707
AlfI	Rhodocyclales	135577	128341
AlfI	unclassified	39178	31422
AlfI	Bradymonadales	12845	12714
AlfI	Desulfarculales	4748	4431
AlfI	Desulfobacterales	58756	58022
AlfI	Desulfovibrionales	144723	142775
AlfI	Desulfurellales	1841	1815
AlfI	Desulfuromonadales	60537	59613
AlfI	Myxococcales	219307	216253
AlfI	Syntrophobacterales	12701	12516
AlfI	unclassified	4231	3616
AlfI	Campylobacterales	119866	116482
AlfI	Nautiliales	740	734
AlfI	unclassified	2207	2184
AlfI	Acidiferrobacterales	5592	5386
AlfI	Aeromonadales	203124	193003
AlfI	Alteromonadales	682936	671917
AlfI	Arenicellales	1620	1603
AlfI	Cardiobacteriales	8354	8092
AlfI	Cellvibrionales	164261	161809
AlfI	Chromatiales	214619	208742
AlfI	Enterobacterales	1544514	1502477
AlfI	Immundisolibacterales	2287	2101
AlfI	Legionellales	72634	72054
AlfI	Methylococcales	81296	78793
AlfI	Nevskiales	69751	67327
AlfI	Oceanospirillales	512371	497045
AlfI	Orbales	13668	13395
AlfI	Pasteurellales	91613	89206
AlfI	Pseudomonadales	2781310	2716329
AlfI	Salinisphaerales	14332	13883
AlfI	Thiotrichales	58445	57324
AlfI	Vibrionales	423904	409555
AlfI	Xanthomonadales	1008947	981446
AlfI	unclassified	81775	73478
AlfI	Hydrogenophilales	6398	5982
AlfI	Bacteriovoracales	3428	3411
AlfI	Bdellovibrionales	9893	9860
AlfI	Oligoflexales	4860	4837
AlfI	Silvanigrellales	1127	1121
AlfI	Mariprofundales	8977	8912
AlfI	unclassified	2327	2316
AlfI	phylum	1913	0
AlfI	unclassified	9170	3022
AlfI	Rhodothermales	3899	3821
AlfI	Brachyspirales	4006	3955
AlfI	Brevinematales	262	260
AlfI	Leptospirales	30408	30155
AlfI	Spirochaetales	40542	39950
AlfI	Synergistales	12573	12429
AlfI	Acholeplasmatales	1031	999
AlfI	Anaeroplasmatales	195	192
AlfI	Entomoplasmatales	2435	2404
AlfI	Mycoplasmatales	7390	7181
AlfI	unclassified	418	402
AlfI	Thermodesulfobacteriales	1677	1645
AlfI	Kosmotogales	2678	2660
AlfI	Mesoaciditogales	195	195
AlfI	Petrotogales	1490	1449
AlfI	Thermotogales	4167	4140
AlfI	Methylacidiphilales	1608	1588
AlfI	Opitutales	28416	27986
AlfI	Puniceicoccales	2788	2772
AlfI	Chthoniobacterales	3550	3523
AlfI	unclassified	3934	3904
AlfI	Verrucomicrobiales	51039	49597
AlfI	unclassified	1327	1308
AlfI	unclassified	13349	13052
AlfI	unclassified	680	668
AlfI	Candidatus Babeliales	82	81
AlfI	Haloplasmatales	329	324
AlfI	unclassified	79294	47729
AlfI	Botryosphaeriales	12734	12659
AlfI	Capnodiales	70839	70226
AlfI	Dothideales	24854	24804
AlfI	Pleosporales	119063	118164
AlfI	Venturiales	9986	9934
AlfI	unclassified	8820	8794
AlfI	Chaetothyriales	187731	187369
AlfI	Eurotiales	299722	298054
AlfI	Onygenales	60864	60175
AlfI	Verrucariales	9090	8952
AlfI	Helotiales	54980	54464
AlfI	unclassified	18937	18561
AlfI	Orbiliales	7546	7534
AlfI	Pezizales	17910	17197
AlfI	Pneumocystidales	1648	1612
AlfI	Saccharomycetales	102338	100837
AlfI	Schizosaccharomycetales	7602	7503
AlfI	Glomerellales	69852	69493
AlfI	Hypocreales	245715	243415
AlfI	Magnaporthales	38167	37568
AlfI	Microascales	9572	9538
AlfI	Ophiostomatales	24579	24346
AlfI	Sordariales	72509	71873
AlfI	Togniniales	14372	14317
AlfI	Xylariales	16020	15979
AlfI	Xylonales	6743	6718
AlfI	unclassified	3908	3874
AlfI	Agaricales	37694	35849
AlfI	Boletales	21982	21264
AlfI	Corticiales	10566	10311
AlfI	Gloeophyllales	10319	10022
AlfI	Hymenochaetales	8924	8565
AlfI	Polyporales	78809	76291
AlfI	Russulales	18951	18463
AlfI	Ceraceosorales	14315	14298
AlfI	Entylomatales	17066	17002
AlfI	Exobasidiales	12174	12109
AlfI	Georgefischeriales	10881	10868
AlfI	Microstromatales	13446	13436
AlfI	Malasseziales	18397	18321
AlfI	Sporidiobolales	12861	12775
AlfI	Mixiales	7301	7172
AlfI	Pucciniales	22646	20579
AlfI	Tremellales	37639	37335
AlfI	Trichosporonales	28117	27995
AlfI	Ustilaginales	54394	54209
AlfI	Wallemiales	3360	3319
AlfI	Rhizophydiales	5698	5398
AlfI	Spizellomycetales	6948	6898
AlfI	unclassified	8008	7797
AlfI	Glomerales	6534	5953
AlfI	Mortierellales	6890	6515
AlfI	Mucorales	9205	8717
AloI	unclassified	209	209
AloI	unclassified	935	925
AloI	unclassified	96	93
AloI	Acidilobales	481	480
AloI	Desulfurococcales	3578	3567
AloI	Fervidicoccales	141	139
AloI	Sulfolobales	5626	5560
AloI	Thermoproteales	3506	3477
AloI	Archaeoglobales	2457	2437
AloI	Candidatus Methanoliparales	384	379
AloI	Halobacteriales	82463	77596
AloI	Haloferacales	94875	90355
AloI	Natrialbales	64895	62523
AloI	Methanobacteriales	7615	7565
AloI	Methanococcales	2859	2814
AloI	Methanocellales	1368	1349
AloI	Methanomicrobiales	15002	14871
AloI	Methanosarcinales	18618	18439
AloI	Methanonatronarchaeales	121	118
AloI	Methanopyrales	1135	1130
AloI	Thermococcales	16084	16032
AloI	Methanomassiliicoccales	3049	3009
AloI	Thermoplasmatales	2051	2025
AloI	unclassified	642	626
AloI	unclassified	407	401
AloI	Candidatus Nitrosocaldales	165	165
AloI	Nitrososphaerales	1470	1450
AloI	Nitrosopumilales	2255	2232
AloI	unclassified	1175	1159
AloI	unclassified	1615	1508
AloI	Abditibacteriales	327	320
AloI	Acidobacteriales	35582	35011
AloI	Bryobacterales	6984	6876
AloI	unclassified	486	479
AloI	Blastocatellales	495	489
AloI	unclassified	911	388
AloI	Holophagales	1710	1655
AloI	Thermoanaerobaculales	420	415
AloI	unclassified	1401	1378
AloI	unclassified	1436	1400
AloI	Acidimicrobiales	5360	5195
AloI	Acidothermales	480	446
AloI	Actinomycetales	43862	40718
AloI	Actinopolysporales	12493	11844
AloI	Bifidobacteriales	57370	55281
AloI	Candidatus Nanopelagicales	1824	1761
AloI	Catenulisporales	6156	4149
AloI	Corynebacteriales	687451	662671
AloI	Cryptosporangiales	6042	5518
AloI	Frankiales	38518	35811
AloI	Geodermatophilales	40101	36833
AloI	Glycomycetales	20062	18356
AloI	Jiangellales	17033	14677
AloI	Kineosporiales	7166	6287
AloI	Micrococcales	680379	654487
AloI	Micromonosporales	182266	171032
AloI	Nakamurellales	7942	7191
AloI	Propionibacteriales	166759	156290
AloI	Pseudonocardiales	349453	324816
AloI	Sporichthyales	1235	1112
AloI	Streptomycetales	1050306	1007380
AloI	Streptosporangiales	259064	242240
AloI	unclassified	15595	7625
AloI	Coriobacteriales	24354	22171
AloI	Eggerthellales	20518	18391
AloI	Egibacterales	881	839
AloI	Egicoccales	673	628
AloI	Euzebyales	3207	3083
AloI	Nitriliruptorales	1068	1007
AloI	Gaiellales	517	491
AloI	Rubrobacterales	4872	4703
AloI	Solirubrobacterales	9717	9254
AloI	Thermoleophilales	323	313
AloI	unclassified	2566	2348
AloI	Aquificales	3650	3621
AloI	Desulfurobacteriales	2462	2442
AloI	Capsulimonadales	1361	1333
AloI	Chthonomonadales	562	552
AloI	Fimbriimonadales	1216	1204
AloI	unclassified	1162	1149
AloI	Bacteroidales	184230	179445
AloI	Marinilabiliales	21551	21188
AloI	Chitinophagales	77215	76462
AloI	Cytophagales	143056	141485
AloI	Flavobacteriales	297734	293230
AloI	unclassified	452	402
AloI	Saprospirales	15426	15237
AloI	Sphingobacteriales	81062	79751
AloI	Bacteroidetes Order II. Incertae sedis	8604	8460
AloI	unclassified	901	334
AloI	Balneolales	6755	6707
AloI	unclassified	490	482
AloI	Caldisericales	122	120
AloI	Calditrichales	477	467
AloI	unclassified	125	111
AloI	unclassified	597	587
AloI	unclassified	579	567
AloI	Candidatus Cryosericales	1551	1539
AloI	unclassified	36	36
AloI	unclassified	911	907
AloI	unclassified	2161	2146
AloI	Candidatus Gastranaerophilales	521	504
AloI	unclassified	661	649
AloI	unclassified	1187	1164
AloI	unclassified	1190	1180
AloI	Chlamydiales	3486	3407
AloI	Parachlamydiales	3273	3238
AloI	Chlorobiales	9604	9416
AloI	Anaerolineales	5773	5698
AloI	unclassified	1059	1041
AloI	Ardenticatenales	855	831
AloI	Caldilineales	1391	1356
AloI	Chloroflexales	6469	6342
AloI	Herpetosiphonales	403	399
AloI	Dehalococcoidales	696	684
AloI	unclassified	1212	1162
AloI	Ktedonobacterales	8185	8007
AloI	Thermogemmatisporales	947	936
AloI	Thermoflexales	1670	1636
AloI	Sphaerobacterales	1412	1386
AloI	Thermomicrobiales	660	652
AloI	unclassified	353	345
AloI	Chrysiogenales	637	622
AloI	Coprothermobacterales	407	399
AloI	Gloeobacterales	997	968
AloI	Chroococcales	11592	10593
AloI	Chroococcidiopsidales	1507	1011
AloI	Gloeoemargaritales	298	294
AloI	Nostocales	34050	32766
AloI	Oscillatoriales	21534	19629
AloI	Pleurocapsales	3730	3643
AloI	Spirulinales	978	946
AloI	Synechococcales	44610	43126
AloI	unclassified	4646	4391
AloI	Deferribacterales	2609	2572
AloI	Deinococcales	33721	32974
AloI	Thermales	12549	12265
AloI	Dictyoglomales	441	436
AloI	Elusimicrobiales	207	206
AloI	Endomicrobiales	154	91
AloI	unclassified	70	10
AloI	Chitinivibrionales	327	327
AloI	Fibrobacterales	13843	13745
AloI	Bacillales	864006	850046
AloI	Lactobacillales	171464	165204
AloI	unclassified	348	58
AloI	Candidatus Borkfalkiales	512	503
AloI	Clostridiales	431141	414339
AloI	Halanaerobiales	4383	4282
AloI	Natranaerobiales	378	372
AloI	Thermoanaerobacterales	11400	11080
AloI	unclassified	4641	1115
AloI	Erysipelotrichales	18439	14290
AloI	Limnochordales	596	575
AloI	Acidaminococcales	5195	5025
AloI	Selenomonadales	22872	22078
AloI	Veillonellales	12510	11788
AloI	Tissierellales	12266	10924
AloI	unclassified	3230	2475
AloI	unclassified	8879	5259
AloI	Fusobacteriales	11219	10804
AloI	Gemmatimonadales	2917	2830
AloI	Ignavibacteriales	708	700
AloI	Kiritimatiellales	4215	4119
AloI	Lentisphaerales	456	444
AloI	Victivallales	3131	3074
AloI	Nitrospinales	919	904
AloI	Nitrospirales	11919	11778
AloI	unclassified	233	232
AloI	Candidatus Brocadiales	2072	2030
AloI	Phycisphaerales	475	460
AloI	Sedimentisphaerales	655	647
AloI	unclassified	2439	2409
