enzyme	name	all	unique
AlfI	Candidatus Bathyarchaeota	622	622
AlfI	Candidatus Korarchaeota	707	698
AlfI	Candidatus Micrarchaeota	252	246
AlfI	Crenarchaeota	11441	11368
AlfI	Euryarchaeota	167565	166251
AlfI	Thaumarchaeota	10111	10021
AlfI	unclassified	616	595
AlfI	Abditibacteriota	929	924
AlfI	Acidobacteria	125527	122684
AlfI	Actinobacteria	7187724	7128393
AlfI	Aquificae	4356	4339
AlfI	Armatimonadetes	6790	6741
AlfI	Bacteroidetes	1916457	1895522
AlfI	Balneolaeota	12004	11923
AlfI	Caldiserica	187	185
AlfI	Calditrichaeota	1324	1302
AlfI	Candidatus Atribacteria	174	160
AlfI	Candidatus Bipolaricaulota	143	142
AlfI	Candidatus Cloacimonetes	575	565
AlfI	Candidatus Cryosericota	2753	2746
AlfI	Candidatus Gracilibacteria	39	39
AlfI	Candidatus Kryptonia	995	993
AlfI	Candidatus Marinimicrobia	4032	3995
AlfI	Candidatus Melainabacteria	2878	2827
AlfI	Candidatus Saccharibacteria	4856	4821
AlfI	Candidatus Tectomicrobia	6458	6445
AlfI	Chlamydiae	13563	13385
AlfI	Chlorobi	23608	23307
AlfI	Chloroflexi	126897	125276
AlfI	Chrysiogenetes	2877	2832
AlfI	Coprothermobacterota	925	909
AlfI	Cyanobacteria	367850	361201
AlfI	Deferribacteres	4162	4111
AlfI	Deinococcus-Thermus	112157	110563
AlfI	Dictyoglomi	302	295
AlfI	Elusimicrobia	1510	1496
AlfI	Fibrobacteres	25880	25770
AlfI	Firmicutes	3025666	2986041
AlfI	Fusobacteria	8358	7966
AlfI	Gemmatimonadetes	8706	8592
AlfI	Ignavibacteriae	829	825
AlfI	Kiritimatiellaeota	7714	7598
AlfI	Lentisphaerae	5346	5263
AlfI	Nitrospinae	1044	1023
AlfI	Nitrospirae	16715	16580
AlfI	Planctomycetes	294321	292167
AlfI	Proteobacteria	19081538	18932509
AlfI	Rhodothermaeota	3899	3821
AlfI	Spirochaetes	75216	74320
AlfI	Synergistetes	12573	12429
AlfI	Tenericutes	11466	11181
AlfI	Thermodesulfobacteria	1677	1645
AlfI	Thermotogae	8525	8447
AlfI	Verrucomicrobia	105919	103804
AlfI	candidate division NC10	680	668
AlfI	unclassified	79704	48134
AlfI	Ascomycota	1515118	1504713
AlfI	Basidiomycota	439728	430265
AlfI	Chytridiomycota	12646	12296
AlfI	Microsporidia	8008	7797
AlfI	Mucoromycota	22629	21185
AloI	Candidatus Bathyarchaeota	209	209
AloI	Candidatus Korarchaeota	935	925
AloI	Candidatus Micrarchaeota	96	93
AloI	Crenarchaeota	13329	13226
AloI	Euryarchaeota	308701	306324
AloI	Thaumarchaeota	5061	5009
AloI	unclassified	1615	1508
AloI	Abditibacteriota	327	320
AloI	Acidobacteria	49388	48115
AloI	Actinobacteria	3635439	3599052
AloI	Aquificae	6111	6064
AloI	Armatimonadetes	4300	4239
AloI	Bacteroidetes	827954	817934
AloI	Balneolaeota	7245	7189
AloI	Caldiserica	122	120
AloI	Calditrichaeota	477	467
AloI	Candidatus Atribacteria	125	111
AloI	Candidatus Bipolaricaulota	597	587
AloI	Candidatus Cloacimonetes	579	567
AloI	Candidatus Cryosericota	1551	1539
AloI	Candidatus Gracilibacteria	36	36
AloI	Candidatus Kryptonia	911	907
AloI	Candidatus Marinimicrobia	2161	2146
AloI	Candidatus Melainabacteria	1182	1153
AloI	Candidatus Saccharibacteria	1187	1164
AloI	Candidatus Tectomicrobia	1190	1180
AloI	Chlamydiae	6759	6645
AloI	Chlorobi	9604	9416
AloI	Chloroflexi	31077	30478
AloI	Chrysiogenetes	637	622
AloI	Coprothermobacterota	407	399
AloI	Cyanobacteria	122018	119074
AloI	Deferribacteres	2609	2572
AloI	Deinococcus-Thermus	46254	45251
AloI	Dictyoglomi	441	436
AloI	Elusimicrobia	371	366
AloI	Fibrobacteres	14170	14072
AloI	Firmicutes	1555162	1532929
AloI	Fusobacteria	11219	10804
AloI	Gemmatimonadetes	2917	2830
AloI	Ignavibacteriae	708	700
AloI	Kiritimatiellaeota	4215	4119
AloI	Lentisphaerae	3587	3518
AloI	Nitrospinae	919	904
AloI	Nitrospirae	12152	12010
AloI	Planctomycetes	166688	164834
AloI	Proteobacteria	4604976	4551109
AloI	Rhodothermaeota	3848	3765
AloI	Spirochaetes	93602	92922
AloI	Synergistetes	11184	10990
AloI	Tenericutes	10055	9723
AloI	Thermodesulfobacteria	1807	1773
AloI	Thermotogae	11786	11693
AloI	Verrucomicrobia	49203	47934
AloI	candidate division NC10	438	432
AloI	unclassified	26995	17314
AloI	Ascomycota	685308	679049
AloI	Basidiomycota	167205	162244
AloI	Chytridiomycota	4324	4195
AloI	Microsporidia	2999	2935
AloI	Mucoromycota	12258	11483
