SampleID	16S	2B	Group	Color
S_2197	0.001881311	0.002594666	Car_KC05T3C.1	Shared
S_2199	0.000333397	0	Car_KC05T3C.1	16S
S_2208	0.000214327	0	Car_KC05T3C.1	16S
S_2209	0.001476472	0.003282014	Car_KC05T3C.1	Shared
S_2210	0.000714422	0	Car_KC05T3C.1	16S
S_2215	0.000428653	0	Car_KC05T3C.1	16S
S_2217	0.000833492	0	Car_KC05T3C.1	16S
S_2219	0.003000572	0.002408756	Car_KC05T3C.1	Shared
S_2220	0.001285959	0.001738076	Car_KC05T3C.1	Shared
S_2225	0.005810631	0.001504546	Car_KC05T3C.1	Shared
S_2226	0.001547914	0	Car_KC05T3C.1	16S
S_2227	0	0.000177666	Car_KC05T3C.1	2B
S_2236	0	0.000135055	Car_KC05T3C.1	2B
S_2237	0.003095828	0.001525196	Car_KC05T3C.1	Shared
S_2241	0.002881501	0.018669166	Car_KC05T3C.1	Shared
S_2247	0.004429415	0.000265494	Car_KC05T3C.1	Shared
S_2254	0.005905887	0	Car_KC05T3C.1	16S
S_2255	0	0.000464729	Car_KC05T3C.1	2B
S_2256	0.001476472	0.009905551	Car_KC05T3C.1	Shared
S_2258	0	0.000252605	Car_KC05T3C.1	2B
S_2259	0.000357211	0	Car_KC05T3C.1	16S
S_2260	0.004119832	0	Car_KC05T3C.1	16S
S_2261	0.001095447	0	Car_KC05T3C.1	16S
S_2262	0.001309773	0	Car_KC05T3C.1	16S
S_2263	0.000142884	0	Car_KC05T3C.1	16S
S_2265	0.000285769	0.000662084	Car_KC05T3C.1	Shared
S_2266	0.000428653	0	Car_KC05T3C.1	16S
S_2271	0	0.000810845	Car_KC05T3C.1	2B
S_2274	0.000452467	0	Car_KC05T3C.1	16S
S_2278	0.000595351	0	Car_KC05T3C.1	16S
S_2282	0.046556487	0	Car_KC05T3C.1	16S
S_2284	0	0.012447959	Car_KC05T3C.1	2B
S_2286	0.001976567	0.001800239	Car_KC05T3C.1	Shared
S_2289	0.00011907	0	Car_KC05T3C.1	16S
S_2292	0.000428653	0	Car_KC05T3C.1	16S
S_2295	0.000261955	0	Car_KC05T3C.1	16S
S_2303	0.000404839	0	Car_KC05T3C.1	16S
S_2307	0.001214517	0	Car_KC05T3C.1	16S
S_2308	0.014216994	0.000153688	Car_KC05T3C.1	Shared
S_2311	0.010621071	0.003351856	Car_KC05T3C.1	Shared
S_2315	0	0.001245228	Car_KC05T3C.1	2B
S_2317	0	0.000908305	Car_KC05T3C.1	2B
S_2319	0.000261955	0	Car_KC05T3C.1	16S
S_2326	0.001452658	0.000284017	Car_KC05T3C.1	Shared
S_2328	0.000476281	0	Car_KC05T3C.1	16S
S_2329	0.089945704	0.031388278	Car_KC05T3C.1	Shared
S_2337	0.001666984	0.012265036	Car_KC05T3C.1	Shared
S_2339	0.001024005	0.000615061	Car_KC05T3C.1	Shared
S_2340	0.001500286	0.000679198	Car_KC05T3C.1	Shared
S_2342	0	0.000702175	Car_KC05T3C.1	2B
S_2343	0.000142884	0.000230443	Car_KC05T3C.1	Shared
S_2345	0	0.000165281	Car_KC05T3C.1	2B
S_2347	0.000952562	0	Car_KC05T3C.1	16S
S_2349	0	0.000324721	Car_KC05T3C.1	2B
S_2352	0	0.000378779	Car_KC05T3C.1	2B
S_2365	0.001095447	0	Car_KC05T3C.1	16S
S_2369	0.001786054	0.00096764	Car_KC05T3C.1	Shared
S_2371	0	0.000180926	Car_KC05T3C.1	2B
S_2374	0.00088112	0.001507689	Car_KC05T3C.1	Shared
S_2376	0.000142884	0	Car_KC05T3C.1	16S
S_2384	0	0.000109165	Car_KC05T3C.1	2B
S_2385	0.004429415	0	Car_KC05T3C.1	16S
S_2388	0.000166698	0.000678569	Car_KC05T3C.1	Shared
S_2389	0.000738236	0	Car_KC05T3C.1	16S
S_2390	0.000357211	0.000938686	Car_KC05T3C.1	Shared
S_2392	0.000357211	0.000100626	Car_KC05T3C.1	Shared
S_2396	0.008239665	0.013274866	Car_KC05T3C.1	Shared
S_2397	0.000309583	0	Car_KC05T3C.1	16S
S_2398	0.000309583	0	Car_KC05T3C.1	16S
S_2399	0.000928748	0	Car_KC05T3C.1	16S
S_2401	0	0.000182723	Car_KC05T3C.1	2B
S_2403	0.000595351	0	Car_KC05T3C.1	16S
S_2408	0.018265384	0.01385642	Car_KC05T3C.1	Shared
S_2409	0.002476662	0	Car_KC05T3C.1	16S
S_2412	0.000452467	0.000969421	Car_KC05T3C.1	Shared
S_2414	0	0.000438565	Car_KC05T3C.1	2B
S_2416	0.000785864	0	Car_KC05T3C.1	16S
S_2417	0.000690608	0.001167501	Car_KC05T3C.1	Shared
S_2423	0.000523909	0	Car_KC05T3C.1	16S
S_2425	0.002929129	0	Car_KC05T3C.1	16S
S_2426	0.000142884	0	Car_KC05T3C.1	16S
S_2428	0.000571537	0	Car_KC05T3C.1	16S
S_2430	0	0.00026224	Car_KC05T3C.1	2B
S_2431	0.000904934	0	Car_KC05T3C.1	16S
S_2435	0.000785864	0	Car_KC05T3C.1	16S
S_2437	0	0.000564131	Car_KC05T3C.1	2B
S_2440	0.000857306	0	Car_KC05T3C.1	16S
S_2441	0	0.000198799	Car_KC05T3C.1	2B
S_2442	0.003381596	0	Car_KC05T3C.1	16S
S_2444	0.001714612	0.001533892	Car_KC05T3C.1	Shared
S_2446	0.002762431	0	Car_KC05T3C.1	16S
S_2449	0.000381025	0.000579066	Car_KC05T3C.1	Shared
S_2450	0.000952562	0	Car_KC05T3C.1	16S
S_2453	0	0.0003626	Car_KC05T3C.1	2B
S_2457	0	0.000103354	Car_KC05T3C.1	2B
S_2459	0.000571537	0.000338861	Car_KC05T3C.1	Shared
S_2465	0.001738426	0.004215151	Car_KC05T3C.1	Shared
S_2467	0.001214517	0.000131958	Car_KC05T3C.1	Shared
S_2469	0.036006858	0.067586682	Car_KC05T3C.1	Shared
S_2472	0.000476281	0	Car_KC05T3C.1	16S
S_2474	0	0.001321637	Car_KC05T3C.1	2B
S_2475	0	0.000154405	Car_KC05T3C.1	2B
S_2480	0	0.00040848	Car_KC05T3C.1	2B
S_2481	0.001500286	0	Car_KC05T3C.1	16S
S_2487	0.001024005	0	Car_KC05T3C.1	16S
S_2489	0.000309583	0	Car_KC05T3C.1	16S
S_2490	0.002881501	0.001434616	Car_KC05T3C.1	Shared
