SampleID	16S	2B	Group	Color
S_1	0.003283302	0.000581203	Underarm_1	Shared
S_2221	0.000100521	0	Underarm_14	16S
S_2308	0.000100521	0	Underarm_14	16S
S_2334	0.000100521	0	Underarm_14	16S
S_2336	0.000100521	0	Underarm_14	16S
S_2340	0.000100521	0	Underarm_14	16S
S_2451	0.000100521	0	Underarm_14	16S
S_2459	0.000100521	0	Underarm_14	16S
S_2485	0.000100521	0	Underarm_14	16S
S_2486	0.000100521	0	Underarm_14	16S
S_2516	0.000100521	0	Underarm_14	16S
S_2544	0.000100521	0	Underarm_14	16S
S_2566	0.000100521	0	Underarm_14	16S
S_2583	0.000100521	0	Underarm_14	16S
S_546	0.00010222	0	Underarm_10	16S
S_566	0.00010222	0	Underarm_10	16S
S_689	0.00010222	0	Underarm_10	16S
S_729	0.00010222	0	Underarm_10	16S
S_754	0.00010222	0	Underarm_10	16S
S_815	0.00010222	0	Underarm_10	16S
S_816	0.00010222	0	Underarm_10	16S
S_7727	0.000103853	0	Underarm_7	16S
S_7781	0.000103853	0	Underarm_7	16S
S_7840	0.000103853	0	Underarm_7	16S
S_5795	0.000104551	0	Underarm_3	16S
S_5805	0.000104551	0	Underarm_3	16S
S_5854	0.000104551	0	Underarm_3	16S
S_5884	0.000104551	0	Underarm_3	16S
S_5901	0.000104551	0	Underarm_3	16S
S_5909	0.000104551	0	Underarm_3	16S
S_5933	0.000104551	0	Underarm_3	16S
S_5966	0.000104551	0	Underarm_3	16S
S_5967	0.000104551	0	Underarm_3	16S
S_5982	0.000104551	0	Underarm_3	16S
S_6048	0.000104551	0	Underarm_3	16S
S_6068	0.000104551	0	Underarm_3	16S
S_6115	0.000104551	0	Underarm_3	16S
S_2393	0	0.000105209	Underarm_14	2B
S_3093	0.000105678	0	Underarm_16	16S
S_3152	0.000105678	0	Underarm_16	16S
S_3177	0.000105678	0	Underarm_16	16S
S_3227	0.000105678	0	Underarm_16	16S
S_3284	0.000105678	0	Underarm_16	16S
S_3336	0.000105678	0	Underarm_16	16S
S_3366	0.000105678	0	Underarm_16	16S
S_3379	0.000105678	0	Underarm_16	16S
S_3414	0.000105678	0	Underarm_16	16S
