SampleID	xa	ya	spp	type
SMM-2-3	0.5	224	Spp	Home
SMM-2-3	0.5	229	Spp	Home
SMM-2-3	0.5	230	Spp	Home
SMM-2-3	1	289	Spp	Home
SMM-2-3	1	285	Spp	Home
SMM-2-3	1	293	Spp	Home
SMM-2-3	2	368	Spp	Home
SMM-2-3	2	371	Spp	Home
SMM-2-3	2	366	Spp	Home
SMM-2-3	3	396	Spp	Home
SMM-2-3	3	394	Spp	Home
SMM-2-3	3	406	Spp	Home
SMM-2-3	4	413	Spp	Home
SMM-2-3	4	410	Spp	Home
SMM-2-3	4	417	Spp	Home
SMM-2-3	5	424	Spp	Home
SMM-2-3	5	418	Spp	Home
SMM-2-3	5	425	Spp	Home
SMM-2-3	6	430	Spp	Home
SMM-2-3	6	422	Spp	Home
SMM-2-3	6	432	Spp	Home
SMM-2-3	7	439	Spp	Home
SMM-2-3	7	442	Spp	Home
SMM-2-3	7	435	Spp	Home
WJM-I	0.5	332	Spp	Home
WJM-I	0.5	329	Spp	Home
WJM-I	0.5	329	Spp	Home
WJM-I	1	413	Spp	Home
WJM-I	1	418	Spp	Home
WJM-I	1	420	Spp	Home
WJM-I	2	451	Spp	Home
WJM-I	2	453	Spp	Home
WJM-I	2	454	Spp	Home
WJM-I	3	466	Spp	Home
WJM-I	3	466	Spp	Home
WJM-I	3	466	Spp	Home
WJM-I	4	473	Spp	Home
WJM-I	4	475	Spp	Home
WJM-I	4	478	Spp	Home
WJM-I	5	482	Spp	Home
WJM-I	5	480	Spp	Home
WJM-I	5	482	Spp	Home
WJM-I	6	497	Spp	Home
WJM-I	6	490	Spp	Home
WJM-I	6	491	Spp	Home
WJM-I	7	500	Spp	Home
WJM-I	7	507	Spp	Home
WJM-I	7	505	Spp	Home
WX-9	0.5	119	Spp	Home
WX-9	0.5	120	Spp	Home
WX-9	0.5	120	Spp	Home
WX-9	1	175	Spp	Home
WX-9	1	175	Spp	Home
WX-9	1	170	Spp	Home
WX-9	2	263	Spp	Home
WX-9	2	252	Spp	Home
WX-9	2	258	Spp	Home
WX-9	3	316	Spp	Home
WX-9	3	316	Spp	Home
WX-9	3	308	Spp	Home
WX-9	4	344	Spp	Home
WX-9	4	347	Spp	Home
WX-9	4	350	Spp	Home
WX-9	5	388	Spp	Home
WX-9	5	374	Spp	Home
WX-9	5	384	Spp	Home
WX-9	6	409	Spp	Home
WX-9	6	403	Spp	Home
WX-9	6	413	Spp	Home
WX-9	7	428	Spp	Home
WX-9	7	419	Spp	Home
WX-9	7	434	Spp	Home
SMM-2-3	0.5	3.571193403	Shannon	Home
SMM-2-3	0.5	3.637766607	Shannon	Home
SMM-2-3	0.5	3.598615371	Shannon	Home
SMM-2-3	1	3.663709494	Shannon	Home
SMM-2-3	1	3.619006482	Shannon	Home
SMM-2-3	1	3.728510893	Shannon	Home
SMM-2-3	2	3.745622314	Shannon	Home
SMM-2-3	2	3.759922283	Shannon	Home
SMM-2-3	2	3.783909993	Shannon	Home
SMM-2-3	3	3.763896267	Shannon	Home
SMM-2-3	3	3.760167415	Shannon	Home
SMM-2-3	3	3.748506435	Shannon	Home
SMM-2-3	4	3.800804397	Shannon	Home
SMM-2-3	4	3.790469731	Shannon	Home
SMM-2-3	4	3.760235762	Shannon	Home
SMM-2-3	5	3.763955052	Shannon	Home
SMM-2-3	5	3.776603579	Shannon	Home
SMM-2-3	5	3.783661625	Shannon	Home
SMM-2-3	6	3.767182331	Shannon	Home
SMM-2-3	6	3.764849664	Shannon	Home
SMM-2-3	6	3.771258055	Shannon	Home
SMM-2-3	7	3.772543545	Shannon	Home
SMM-2-3	7	3.774293974	Shannon	Home
SMM-2-3	7	3.76399043	Shannon	Home
WJM-I	0.5	3.989362052	Shannon	Home
WJM-I	0.5	3.955738603	Shannon	Home
WJM-I	0.5	3.94738727	Shannon	Home
WJM-I	1	4.079245937	Shannon	Home
WJM-I	1	4.154234664	Shannon	Home
WJM-I	1	4.113215791	Shannon	Home
WJM-I	2	4.144517346	Shannon	Home
WJM-I	2	4.183856103	Shannon	Home
WJM-I	2	4.145638819	Shannon	Home
WJM-I	3	4.188012715	Shannon	Home
WJM-I	3	4.15068459	Shannon	Home
WJM-I	3	4.144427652	Shannon	Home
WJM-I	4	4.13716076	Shannon	Home
WJM-I	4	4.195112333	Shannon	Home
WJM-I	4	4.103012637	Shannon	Home
WJM-I	5	4.150356965	Shannon	Home
WJM-I	5	4.200398741	Shannon	Home
WJM-I	5	4.123169522	Shannon	Home
WJM-I	6	4.098276523	Shannon	Home
WJM-I	6	4.156271588	Shannon	Home
WJM-I	6	4.153065432	Shannon	Home
WJM-I	7	4.129931499	Shannon	Home
WJM-I	7	4.166842452	Shannon	Home
WJM-I	7	4.17464567	Shannon	Home
WX-9	0.5	2.366035786	Shannon	Home
WX-9	0.5	2.383302505	Shannon	Home
WX-9	0.5	2.420462718	Shannon	Home
WX-9	1	2.475358947	Shannon	Home
WX-9	1	2.505202334	Shannon	Home
WX-9	1	2.493862155	Shannon	Home
WX-9	2	2.526976202	Shannon	Home
WX-9	2	2.531350684	Shannon	Home
WX-9	2	2.532894993	Shannon	Home
WX-9	3	2.554046797	Shannon	Home
WX-9	3	2.550863624	Shannon	Home
WX-9	3	2.583035225	Shannon	Home
WX-9	4	2.593277573	Shannon	Home
WX-9	4	2.576878808	Shannon	Home
WX-9	4	2.567230635	Shannon	Home
WX-9	5	2.608110604	Shannon	Home
WX-9	5	2.585695393	Shannon	Home
WX-9	5	2.580780674	Shannon	Home
WX-9	6	2.583817222	Shannon	Home
WX-9	6	2.583634086	Shannon	Home
WX-9	6	2.590648932	Shannon	Home
WX-9	7	2.624100942	Shannon	Home
WX-9	7	2.586288301	Shannon	Home
WX-9	7	2.596284076	Shannon	Home
KC06BgP-1	0.5	480	Spp	Car
KC06BgP-1	0.5	471	Spp	Car
KC06BgP-1	0.5	462	Spp	Car
KC06BgP-1	1	834	Spp	Car
KC06BgP-1	1	830	Spp	Car
KC06BgP-1	1	846	Spp	Car
KC06BgP-1	2	1444	Spp	Car
KC06BgP-1	2	1441	Spp	Car
KC06BgP-1	2	1437	Spp	Car
KC06BgP-1	3	1924	Spp	Car
KC06BgP-1	3	1895	Spp	Car
KC06BgP-1	3	1913	Spp	Car
KC06BgP-1	4	2337	Spp	Car
KC06BgP-1	4	2357	Spp	Car
KC06BgP-1	4	2358	Spp	Car
KC06BgP-1	5	2710	Spp	Car
KC06BgP-1	5	2700	Spp	Car
KC06BgP-1	5	2705	Spp	Car
KC06BgP-1	6	2983	Spp	Car
KC06BgP-1	6	3030	Spp	Car
KC06BgP-1	6	2992	Spp	Car
KC06BgP-1	7	3268	Spp	Car
KC06BgP-1	7	3273	Spp	Car
KC06BgP-1	7	3268	Spp	Car
KC06BgP-1	8	3481	Spp	Car
KC06BgP-1	8	3497	Spp	Car
KC06BgP-1	8	3493	Spp	Car
KC06BgP-1	9	3738	Spp	Car
KC06BgP-1	9	3701	Spp	Car
KC06BgP-1	9	3691	Spp	Car
KC06T2P-1	0.5	425	Spp	Car
KC06T2P-1	0.5	415	Spp	Car
KC06T2P-1	0.5	423	Spp	Car
KC06T2P-1	1	746	Spp	Car
KC06T2P-1	1	742	Spp	Car
KC06T2P-1	1	759	Spp	Car
KC06T2P-1	2	1280	Spp	Car
KC06T2P-1	2	1277	Spp	Car
KC06T2P-1	2	1261	Spp	Car
KC06T2P-1	3	1654	Spp	Car
KC06T2P-1	3	1661	Spp	Car
KC06T2P-1	3	1671	Spp	Car
KC06T2P-1	4	1973	Spp	Car
KC06T2P-1	4	1972	Spp	Car
KC06T2P-1	4	1985	Spp	Car
KC06T2P-1	5	2246	Spp	Car
KC06T2P-1	5	2234	Spp	Car
KC06T2P-1	5	2243	Spp	Car
KC06T2P-1	6	2434	Spp	Car
KC06T2P-1	6	2427	Spp	Car
KC06T2P-1	6	2434	Spp	Car
KC06T2P-1	7	2625	Spp	Car
KC06T2P-1	7	2624	Spp	Car
KC06T2P-1	7	2627	Spp	Car
KT05T2C-1	0.5	433	Spp	Car
KT05T2C-1	0.5	424	Spp	Car
KT05T2C-1	0.5	438	Spp	Car
KT05T2C-1	1	686	Spp	Car
KT05T2C-1	1	671	Spp	Car
KT05T2C-1	1	677	Spp	Car
KT05T2C-1	2	995	Spp	Car
KT05T2C-1	2	1004	Spp	Car
KT05T2C-1	2	994	Spp	Car
KT05T2C-1	3	1216	Spp	Car
KT05T2C-1	3	1209	Spp	Car
KT05T2C-1	3	1192	Spp	Car
KT05T2C-1	4	1380	Spp	Car
KT05T2C-1	4	1388	Spp	Car
KT05T2C-1	4	1375	Spp	Car
KT05T2C-1	5	1548	Spp	Car
KT05T2C-1	5	1506	Spp	Car
KT05T2C-1	5	1551	Spp	Car
KT05T2C-1	6	1666	Spp	Car
KT05T2C-1	6	1664	Spp	Car
KT05T2C-1	6	1660	Spp	Car
KC06BgP-1	0.5	4.891807906	Shannon	Car
KC06BgP-1	0.5	4.89773026	Shannon	Car
KC06BgP-1	0.5	4.868210353	Shannon	Car
KC06BgP-1	1	5.26245969	Shannon	Car
KC06BgP-1	1	5.230246422	Shannon	Car
KC06BgP-1	1	5.247706419	Shannon	Car
KC06BgP-1	2	5.514713801	Shannon	Car
KC06BgP-1	2	5.519618458	Shannon	Car
KC06BgP-1	2	5.523380926	Shannon	Car
KC06BgP-1	3	5.660065572	Shannon	Car
KC06BgP-1	3	5.641614628	Shannon	Car
KC06BgP-1	3	5.654467556	Shannon	Car
KC06BgP-1	4	5.729759289	Shannon	Car
KC06BgP-1	4	5.731666619	Shannon	Car
KC06BgP-1	4	5.722166055	Shannon	Car
KC06BgP-1	5	5.775719547	Shannon	Car
KC06BgP-1	5	5.781916089	Shannon	Car
KC06BgP-1	5	5.802349242	Shannon	Car
KC06BgP-1	6	5.835247068	Shannon	Car
KC06BgP-1	6	5.845586871	Shannon	Car
KC06BgP-1	6	5.827986381	Shannon	Car
KC06BgP-1	7	5.858654986	Shannon	Car
KC06BgP-1	7	5.865276952	Shannon	Car
KC06BgP-1	7	5.864151561	Shannon	Car
KC06BgP-1	8	5.876956533	Shannon	Car
KC06BgP-1	8	5.87906822	Shannon	Car
KC06BgP-1	8	5.893782515	Shannon	Car
KC06BgP-1	9	5.911955684	Shannon	Car
KC06BgP-1	9	5.901852677	Shannon	Car
KC06BgP-1	9	5.910006204	Shannon	Car
KC06T2P-1	0.5	5.179984089	Shannon	Car
KC06T2P-1	0.5	5.151780955	Shannon	Car
KC06T2P-1	0.5	5.174183601	Shannon	Car
KC06T2P-1	1	5.602393771	Shannon	Car
KC06T2P-1	1	5.581734921	Shannon	Car
KC06T2P-1	1	5.600145395	Shannon	Car
KC06T2P-1	2	5.937476364	Shannon	Car
