SampleID	Group	Tetrasphaera_australiensis	Deinococcus_wulumuqiensis	Actinomyces_sp_ICM47	Moesziomyces_antarcticus	Leclercia_adecarboxylata	Malassezia_restricta	Malassezia_globosa	Paracoccus_sphaerophysae	Morganella_morganii	Klebsiella_pneumoniae	Escherichia_coli	Bacillus_velezensis	Acinetobacter_baumannii	Corynebacterium_propinquum	Corynebacterium_matruchotii	Pelomonas_puraquae	Stenotrophomonas_maltophilia	Corynebacterium_tuberculostearicum	Corynebacterium_pseudogenitalium	Corynebacterium_macginleyi	Methyloversatilis_universalis	Moraxella_osloensis	Xanthomonas_campestris	Brevibacterium_casei	Ralstonia_pickettii	Pseudomonas_stutzeri	Pseudomonas_aeruginosa	Lactobacillus_curvatus	Ferrovibrio_sp_K5	bacterium_M00_F_Ca_ET_230_01_1_1	Alphaproteobacteria_bacterium_SYSU_XM001	Burkholderiales_bacterium_C2	Sterolibacteriaceae_bacterium_M52	Lautropia_sp_KCOM_2505	Cloacibacterium_normanense	Bifidobacterium_longum	Ralstonia_sp_GV074	Porphyrobacter_cryptus	Haematobacter_massiliensis	Mangrovicoccus_ximenensis	Gordonia_sp_852002_10350_SCH5691597	Mycobacterium_tuberculosis	Lactobacillus_vaccinostercus	Cutibacterium_acnes	Lactobacillus_fermentum	Lactobacillus_paracasei	Lactobacillus_plantarum	Lactobacillus_pentosus	Lactobacillus_brevis	Paracoccus_sanguinis	Brevundimonas_sp_AAP58	bacterium_YEK0313	Zhizhongheella_caldifontis	Bacillus_circulans	Bacillus_cereus	Ralstonia_sp_UNC404CL21Col	Lactococcus_garvieae	Lactococcus_lactis	Methyloversatilis_thermotolerans	Paracoccus_sp_SY	Streptococcus_mutans	Staphylococcus_aureus	Kocuria_rosea	Pediococcus_pentosaceus	Pediococcus_acidilactici	Weissella_paramesenteroides	Methyloversatilis_discipulorum	Serinicoccus_profundi	Bordetella_hinzii
Ca_1	Ca	0	0	0	0	0	2.732187948	0	2.649440122	0	0	3.408092129	0	0	0	0	2.168756259	2.856056598	0	0	0	3.520034593	3.505989771	2.738103947	0	0	3.266908656	3.465458632	0	3.489637932	0	0	0	3.302216797	0	0	0	0	3.028465688	0	0	0	4.178786345	0	0	0	4.405702648	0	0	0	2.031940214	0	2.205739891	2.903241083	0	0	2.814909701	0	0	2.612649208	0	0	0	0	0	0	0	4.493537182	0	0
Ca_10	Ca	0	0	0	0	0	2.622195708	0	0	0	0	3.327121275	0	0	0	0	0	0	0	0	0	3.254654934	3.315048305	0	0	0	3.169001331	3.147645915	0	3.416520374	0	0	0	0	0	0	0	0	2.414109949	0	0	0	4.782549366	0	3.673919725	0	3.759152284	0	0	0	0	0	0	0	0	0	0	0	0	2.524068314	0	0	0	0	0	0	0	4.142854765	0	2.537432486
Ca_11	Ca	0	0	0	0	0	1.903710499	1.68920663	0	0	0	0	0	0	0	0	1.994403159	2.457235959	0	0	0	3.67438592	2.918865812	0	0	0	3.366673641	3.594273007	0	3.517765785	0	0	0	3.364259285	0	0	0	0	2.796453914	0	0	0	4.359198271	0	3.453731189	0	3.827530838	0	0	0	0	0	0	3.039369068	0	0	0	0	0	2.941492804	0	0	0	0	0	0	0	4.61253919	0	2.355184022
Ca_12	Ca	0	0	0	0	0	0	1.064795501	0	0	0	0	0	2.584404308	0	2.559441949	0	1.892652539	0	0	0	2.129284318	2.144688831	0	0	0	0	2.377605931	0	2.098604605	0	0	0	0	0	0	0	0	1.255101422	0	0	0	4.017994394	0	2.837780147	0	3.182449196	0	0	0	0	0	0	0	0	0	0	0	0	1.5026303	0	0	0	0	0	0	0	3.189088076	1.906454775	1.593579808
Ca_13	Ca	0	0	0	0	0	2.808569929	2.196790563	0	0	0	2.628903732	0	2.743126936	0	0	0	2.501404209	0	0	0	3.6268187	2.781605688	0	0	0	3.206947484	3.295345642	0	3.480073372	0	0	0	0	0	0	0	0	2.656610789	0	0	0	4.026104357	0	0	0	4.036465464	0	0	0	0	0	1.900472396	3.418142221	0	0	0	0	0	2.234240966	0	0	0	0	0	0	0	4.5353108	0	0
Ca_14	Ca	0	0	0	0	0	2.835919955	0	2.773303657	0	0	3.284655131	0	3.300195128	0	0	0	2.652908532	0	0	0	3.288635004	3.248544809	0	0	0	0	3.125985626	0	3.225473046	0	0	0	0	0	0	0	0	2.93536594	0	0	0	4.630486208	0	0	0	3.852398806	0	0	0	0	0	0	0	0	0	0	0	0	2.480915559	0	0	0	0	0	0	0	4.191196606	2.290680138	2.892324051
Ca_15	Ca	0	0	0	0	0	1.875009477	1.706573771	1.928696203	0	0	2.690331972	0	0	0	0	1.612992213	1.912486247	0	0	0	2.849527163	2.822197387	0	0	0	2.680525808	2.735989954	0	2.842869388	0	0	0	0	0	0	0	0	2.252098007	0	0	0	4.893890175	0	0	0	3.300082923	0	0	0	0	0	0	0	0	0	0	0	0	2.360661585	0	0	0	0	0	0	0	3.922271285	0	2.468745732
Ca_2	Ca	0	0	0	0.598836597	0	0.548045567	0	2.304910274	0	2.168984535	3.247635749	0	2.909756181	0	0	0	1.670960242	0	0	0	1.591821345	1.805620934	0	0	0	1.104940802	1.347500665	2.254472869	1.712733342	0	0	0	0	0	0	0	0	1.108326827	1.363709255	2.440431788	0	3.292970567	0	0	3.517361951	4.907247872	0	0	0	1.189724583	0	0	0	0	0	0	0	2.189764368	0	0	3.150160592	3.46228922	0	0	0	0	2.532278154	0	0.932889064
Ca_3	Ca	0	0	1.372526503	0	0	0.29606408	0	0	0	0	3.319744983	0	2.158413662	0	0	0	1.56160369	0	0	0	2.055765561	2.818354092	0	0	0	1.532811638	1.660935236	0	1.837534256	0.415428899	0	0	0	0	0	0	0	1.377315655	0.893187273	0	0	2.543521245	0	0	3.558304298	4.953464448	0	0	0	0	0	0.728365019	0	0	0	0	0	2.027050772	0	0	3.210416973	0	0	1.962986477	0	0	2.833445514	0	0
Ca_4	Ca	0	0	1.3714551	0.459534463	0	1.349776691	0	0	0	2.923029703	3.54136348	0	3.127009719	0	0	1.032780786	2.743344997	0	0	0	2.077299374	2.736017986	0.899057001	0	0	1.743270439	2.054956736	0	2.114908899	0	0	0	0	0	0	1.313660998	0	1.347557214	0	1.97702089	0	3.019468557	0	0	3.75468034	4.436552948	0	0	2.324727889	0	0	0	1.688239807	0	0	0	0	3.401554217	1.063928168	0	3.385047868	3.675302177	0	0	0	2.438032776	3.021792842	0	0
